gen, ranking_scalar_uniform_best, ranking_scalar_uniform_ave
 736,   0.7285, 0.640515
 737,   0.7285, 0.634745
 738,   0.7285, 0.634609
 739,   0.7285, 0.635019
 740,   0.7285, 0.637006
 741,   0.7285, 0.638485
 742,   0.7285,  0.64498
 743,   0.7285, 0.642891
 744,   0.7285, 0.638085
 745,   0.7285, 0.634425
 746,   0.7285, 0.637091
 747,   0.7285, 0.640812
 748,   0.7285, 0.637185
 749,   0.7285, 0.637064
 750,   0.7285, 0.632608
 751,   0.7285, 0.632426
 752,   0.7285, 0.631923
 753,   0.7285, 0.632594
 754,   0.7285, 0.638347
 755,   0.7285, 0.635697
 756,   0.7285, 0.636052
 757,   0.7285, 0.640861
 758,   0.7285, 0.633772
 759,   0.7285, 0.629296
 760,   0.7285, 0.635795
 761,   0.7285,  0.64846
 762,   0.7285, 0.636586
 763,   0.7285, 0.634779
 764,   0.7285, 0.634881
 765,   0.7285, 0.632454
 766,   0.7285, 0.638683
 767,   0.7285, 0.642228
 768,   0.7285, 0.641244
 769,   0.7285, 0.635861
 770,   0.7285, 0.636158
 771,   0.7285, 0.634683
 772,   0.7285, 0.636247
 773,   0.7285, 0.635296
 774,   0.7285, 0.629319
 775,   0.7285, 0.628948
 776,   0.7285, 0.631733
 777,   0.7285, 0.626988
 778,   0.7285, 0.634815
 779,   0.7285, 0.637349
 780,   0.7285, 0.638847
 781,   0.7285,  0.63509
 782,   0.7285, 0.632662
 783,   0.7285, 0.626605
 784,   0.7285, 0.626109
 785,   0.7285, 0.637179
 786,   0.7285, 0.627785
 787,   0.7285, 0.634345
 788,   0.7285, 0.633618
 789,   0.7285,  0.63672
 790,   0.7279, 0.634181
 791,   0.7279, 0.631003
 792,   0.7279, 0.636122
 793,   0.7279, 0.632701
 794,   0.7279, 0.628409
 795,   0.7279, 0.636767
 796,   0.7279, 0.639175
 797,   0.7279, 0.638853
 798,   0.7279, 0.631869
 799,   0.7281, 0.643337
 800,   0.7281, 0.640954
 801,   0.7281, 0.637052
 802,   0.7281, 0.634882
 803,   0.7281, 0.638304
 804,   0.7279, 0.636597
 805,   0.7279, 0.639093
 806,   0.7279, 0.639048
 807,   0.7279, 0.633576
 808,   0.7279, 0.639582
 809,   0.7279, 0.632666
 810,   0.7279, 0.639549
 811,   0.7279, 0.634291
 812,   0.7279, 0.637927
 813,   0.7279, 0.635749
 814,   0.7279, 0.640996
 815,   0.7279, 0.637444
 816,   0.7279, 0.631665
 817,   0.7279, 0.629768
 818,   0.7279, 0.628057
 819,   0.7279, 0.634762
 820,   0.7302,  0.63828
 821,   0.7302,  0.63949
 822,   0.7302, 0.641637
 823,   0.7302, 0.640854
 824,   0.7302, 0.633477
 825,   0.7277, 0.629555
 826,   0.7277, 0.633154
 827,   0.7277, 0.635686
 828,   0.7277, 0.634898
 829,   0.7277, 0.634121
 830,   0.7277,  0.63439
 831,   0.7277,  0.63049
 832,   0.7277, 0.630081
 833,   0.7277, 0.631911
 834,   0.7277, 0.637231
 835,   0.7277, 0.631578
 836,   0.7277, 0.633024
 837,   0.7277, 0.634811
 838,   0.7277, 0.634048
 839,   0.7277, 0.639897
 840,   0.7277, 0.628883
 841,   0.7277,  0.63093
 842,   0.7277, 0.633886
 843,    0.728, 0.630231
 844,    0.728, 0.631364
 845,    0.728, 0.638109
 846,    0.728, 0.636841
 847,    0.728, 0.633437
 848,    0.728,   0.6384
 849,    0.728, 0.636397
 850,    0.728, 0.634538
 851,    0.728, 0.631513
 852,    0.728, 0.636473
 853,    0.728, 0.634958
 854,    0.728, 0.635738
 855,    0.728, 0.639636
 856,    0.728, 0.631804
 857,    0.728, 0.631588
 858,    0.728, 0.637474
 859,    0.728, 0.642381
 860,    0.728,  0.63409
 861,    0.728, 0.629689
 862,    0.728, 0.627079
 863,    0.728, 0.633668
 864,    0.728, 0.638766
 865,    0.728, 0.640724
 866,    0.728, 0.636231
 867,    0.728, 0.640852
 868,    0.728, 0.639235
 869,    0.728, 0.636786
 870,    0.728, 0.639413
 871,    0.728, 0.634286
 872,    0.728, 0.634833
 873,    0.728, 0.638313
 874,    0.728, 0.644671
 875,    0.728, 0.638407
 876,    0.728, 0.639852
 877,     0.73, 0.636577
 878,     0.73,  0.63232
 879,     0.73, 0.633782
 880,     0.73, 0.634913
 881,     0.73, 0.630578
 882,     0.73,  0.63484
 883,     0.73, 0.637782
 884,     0.73, 0.638326
 885,     0.73, 0.630988
 886,     0.73, 0.634476
 887,     0.73, 0.629956
 888,   0.7283, 0.641264
 889,   0.7283, 0.632955
 890,   0.7283,  0.63526
 891,   0.7283, 0.638421
 892,   0.7283, 0.642364
 893,   0.7283, 0.637339
 894,   0.7283, 0.632177
 895,   0.7283, 0.639162
 896,   0.7283, 0.645885
 897,    0.728,  0.64414
 898,    0.728, 0.641952
 899,    0.728, 0.644404
 900,    0.728, 0.641236
 901,    0.728, 0.642937
 902,   0.7281, 0.639034
 903,   0.7281, 0.635372
 904,   0.7293,  0.63478
 905,   0.7293, 0.640252
 906,   0.7353, 0.635776
 907,   0.7353, 0.632456
 908,   0.7353, 0.636798
 909,   0.7353, 0.634107
 910,    0.741, 0.633032
 911,    0.741, 0.638733
 912,    0.741, 0.637571
 913,    0.741, 0.637827
 914,   0.7432, 0.634178
 915,   0.7432, 0.630073
 916,   0.7432, 0.634477
 917,    0.747, 0.649297
 918,    0.747, 0.645711
 919,    0.747, 0.646384
 920,   0.7535, 0.636779
 921,   0.7535, 0.640535
 922,   0.7535, 0.641841
 923,   0.7535, 0.637129
 924,   0.7535, 0.636604
 925,   0.7535,  0.64244
 926,   0.7535, 0.643861
 927,   0.7548, 0.643165
 928,   0.7548, 0.645424
 929,   0.7548, 0.642338
 930,   0.7548, 0.648606
 931,   0.7548, 0.643622
 932,   0.7548, 0.644601
 933,   0.7548, 0.640751
 934,   0.7604, 0.652365
 935,   0.7605, 0.642279
 936,   0.7605, 0.636953
