gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 274,    0.617,  0.55379
 275,    0.617, 0.550761
 276,    0.617, 0.554838
 277,    0.617,  0.55936
 278,   0.6173, 0.553417
 279,   0.6173, 0.553796
 280,   0.6173, 0.557157
 281,   0.6173, 0.555201
 282,   0.6173, 0.560841
 283,   0.6173,  0.55975
 284,   0.6173, 0.555931
 285,   0.6173,  0.55948
 286,   0.6178, 0.554392
 287,   0.6178, 0.556469
 288,   0.6178, 0.553873
 289,   0.6179, 0.557256
 290,   0.6186, 0.558441
 291,   0.6186, 0.559675
 292,   0.6186, 0.552964
 293,   0.6186, 0.551543
 294,   0.6186, 0.556108
 295,   0.6186, 0.551794
 296,   0.6186, 0.559166
 297,   0.6186, 0.554153
 298,   0.6186, 0.559151
 299,   0.6186, 0.556695
 300,   0.6186, 0.552859
 301,   0.6186, 0.556574
 302,   0.6186,  0.55304
 303,   0.6186, 0.556763
 304,   0.6186, 0.556242
 305,   0.6186,  0.55445
 306,   0.6186, 0.557093
 307,   0.6186, 0.558852
 308,   0.6186, 0.560748
 309,   0.6186, 0.559118
 310,   0.6186, 0.562018
 311,   0.6186, 0.562324
 312,   0.6186, 0.559547
 313,   0.6186, 0.558872
 314,   0.6186, 0.554319
 315,   0.6186, 0.557094
 316,   0.6186,  0.55987
 317,   0.6186, 0.555892
 318,   0.6186, 0.557935
 319,   0.6186, 0.555148
 320,   0.6186, 0.553616
 321,   0.6195, 0.552634
 322,   0.6195, 0.557907
 323,   0.6195,  0.55978
 324,   0.6195, 0.561864
 325,   0.6195, 0.558284
 326,   0.6195, 0.561725
 327,   0.6195, 0.559691
 328,   0.6195, 0.559685
 329,   0.6195, 0.559353
 330,   0.6201, 0.568119
 331,   0.6201, 0.560093
 332,   0.6201, 0.561493
 333,   0.6201, 0.554997
 334,   0.6201, 0.558821
 335,   0.6201,  0.56013
 336,   0.6201, 0.555635
 337,   0.6205, 0.559468
 338,   0.6205, 0.557267
 339,   0.6214, 0.554971
 340,   0.6214,  0.55597
 341,   0.6214, 0.558193
 342,   0.6214, 0.560883
