gen, ranking_ternary_onepoint_best, ranking_ternary_onepoint_ave
 305,   0.6652, 0.615736
 306,   0.6652,  0.61617
 307,   0.6652, 0.616454
 308,   0.6652, 0.615882
 309,   0.6652, 0.613581
 310,   0.6652,  0.61545
 311,   0.6656, 0.615738
 312,   0.6656, 0.617675
 313,   0.6656, 0.615745
 314,   0.6656, 0.615024
 315,   0.6656, 0.614979
 316,   0.6656, 0.618202
 317,   0.6661, 0.617219
 318,   0.6661, 0.610497
 319,   0.6661, 0.608961
 320,   0.6661, 0.615845
 321,   0.6661, 0.615466
 322,   0.6661, 0.615498
 323,   0.6661, 0.617797
 324,   0.6661, 0.617158
 325,   0.6666, 0.617552
 326,   0.6666, 0.614676
 327,   0.6666,    0.617
 328,   0.6666, 0.617303
 329,   0.6666, 0.617684
 330,   0.6666, 0.611863
 331,   0.6666, 0.614955
 332,   0.6666, 0.614285
 333,   0.6666,  0.61784
 334,   0.6666, 0.620497
 335,   0.6666, 0.619841
 336,   0.6666, 0.617086
 337,   0.6666, 0.614206
 338,   0.6666, 0.615996
 339,   0.6666, 0.618658
 340,   0.6666, 0.616355
 341,   0.6668, 0.610454
 342,   0.6668,  0.61064
 343,   0.6668, 0.611371
 344,   0.6668, 0.614011
 345,   0.6668, 0.612974
 346,   0.6668, 0.614962
 347,   0.6668, 0.616806
 348,   0.6668, 0.618006
 349,   0.6668, 0.620483
 350,   0.6668, 0.620536
 351,   0.6671, 0.616692
 352,   0.6674, 0.617587
 353,   0.6674, 0.618979
 354,   0.6674, 0.615025
 355,   0.6675, 0.617384
 356,   0.6675, 0.621802
 357,   0.6675, 0.619995
 358,   0.6675, 0.614596
 359,   0.6675, 0.619976
 360,   0.6677,  0.61803
 361,   0.6677, 0.616503
 362,   0.6677, 0.617743
 363,   0.6677, 0.618864
 364,   0.6677, 0.621723
 365,   0.6677, 0.622822
 366,   0.6677, 0.622141
 367,   0.6678,  0.61858
 368,   0.6678, 0.619589
 369,   0.6678, 0.614132
 370,   0.6678, 0.617658
 371,   0.6678, 0.622467
 372,   0.6678, 0.618977
 373,   0.6678, 0.622455
 374,   0.6678, 0.620762
 375,   0.6678, 0.620973
 376,   0.6678, 0.618046
 377,   0.6678, 0.621108
 378,   0.6678,  0.61868
 379,   0.6678, 0.615937
 380,   0.6678, 0.615358
 381,   0.6678, 0.617926
 382,   0.6678, 0.621172
 383,   0.6678, 0.622296
 384,   0.6679, 0.617681
 385,   0.6679, 0.620256
 386,   0.6679, 0.615968
 387,   0.6679, 0.620265
 388,   0.6679, 0.619762
 389,   0.6679,  0.61946
 390,   0.6679, 0.619115
 391,   0.6679, 0.619616
 392,   0.6679, 0.619891
 393,   0.6679, 0.619977
 394,   0.6679, 0.619717
 395,   0.6679, 0.615697
 396,   0.6679, 0.618007
 397,   0.6681, 0.623216
 398,   0.6681, 0.622473
 399,   0.6681, 0.617501
 400,   0.6681, 0.622602
 401,   0.6681,  0.61773
 402,   0.6681, 0.618159
 403,   0.6685, 0.620974
 404,   0.6685, 0.623726
 405,   0.6685, 0.618818
 406,   0.6685, 0.621554
 407,   0.6685, 0.618729
 408,   0.6685, 0.614501
 409,   0.6685, 0.617588
 410,   0.6685,  0.61767
 411,   0.6685, 0.618806
 412,   0.6685, 0.618922
 413,   0.6685, 0.622922
 414,   0.6685,  0.62336
 415,   0.6685, 0.616935
 416,   0.6685, 0.618856
 417,   0.6685, 0.618823
 418,   0.6685, 0.617426
 419,   0.6685, 0.616576
 420,   0.6685, 0.615125
 421,   0.6685, 0.618182
 422,   0.6688,  0.61809
 423,   0.6688,  0.61513
 424,   0.6688, 0.618335
 425,   0.6688, 0.615044
 426,   0.6688, 0.615719
 427,   0.6688, 0.614576
 428,   0.6689, 0.616202
 429,   0.6689, 0.609511
 430,   0.6689, 0.614001
 431,   0.6689, 0.620745
 432,   0.6689, 0.615761
 433,   0.6689, 0.618095
 434,   0.6689, 0.613017
 435,   0.6689, 0.617365
 436,   0.6689, 0.614333
 437,   0.6689, 0.617014
 438,   0.6689, 0.618092
 439,   0.6689, 0.616606
 440,   0.6692, 0.619558
 441,   0.6692,  0.61557
 442,   0.6692, 0.616166
 443,   0.6692, 0.616671
 444,   0.6692, 0.617027
 445,   0.6692, 0.620025
 446,   0.6692, 0.624335
 447,   0.6692, 0.622966
 448,   0.6692,  0.62787
 449,   0.6692, 0.624281
 450,   0.6692, 0.617246
 451,   0.6692, 0.617333
 452,   0.6692, 0.617049
 453,   0.6692, 0.618047
 454,   0.6692, 0.618158
 455,   0.6692, 0.616777
 456,   0.6692, 0.613924
 457,   0.6692,  0.61965
 458,   0.6693, 0.613705
 459,   0.6693, 0.614201
 460,   0.6693, 0.615336
 461,   0.6693, 0.614515
 462,   0.6693, 0.616367
 463,   0.6693, 0.616113
 464,   0.6693, 0.615704
 465,   0.6693, 0.613421
 466,   0.6693, 0.613463
 467,   0.6693, 0.615584
 468,   0.6693, 0.614704
 469,   0.6693, 0.617756
 470,   0.6693, 0.616443
 471,   0.6693, 0.617373
 472,   0.6693, 0.622025
 473,   0.6693, 0.619053
 474,   0.6693, 0.615927
 475,   0.6693, 0.619202
 476,   0.6693, 0.616316
 477,   0.6693, 0.622618
 478,   0.6693, 0.621379
 479,   0.6693, 0.618243
 480,   0.6693, 0.621285
 481,   0.6693, 0.620688
 482,   0.6693, 0.618725
 483,   0.6693, 0.615982
 484,   0.6693, 0.612212
 485,   0.6693, 0.614212
 486,   0.6693, 0.611655
 487,   0.6693, 0.616287
 488,   0.6693, 0.617856
 489,   0.6694, 0.616931
 490,   0.6694, 0.614573
 491,   0.6694,  0.61692
 492,   0.6694, 0.614271
 493,   0.6694, 0.613568
 494,   0.6694, 0.620023
 495,   0.6694, 0.613614
 496,   0.6694, 0.620206
 497,   0.6694, 0.618621
 498,   0.6694, 0.618237
 499,   0.6694, 0.616993
 500,   0.6694, 0.618062
 501,   0.6694, 0.620577
 502,   0.6694, 0.618326
 503,   0.6694, 0.618857
 504,   0.6694, 0.617836
 505,   0.6694, 0.618563
 506,   0.6694, 0.616957
 507,   0.6695, 0.619533
 508,   0.6695, 0.622313
 509,   0.6695, 0.619867
 510,   0.6695, 0.619081
 511,   0.6695, 0.617808
 512,   0.6695, 0.617512
 513,   0.6695, 0.620995
 514,   0.6695, 0.618569
 515,   0.6695, 0.619733
 516,   0.6695, 0.619081
 517,   0.6695, 0.619916
 518,   0.6695, 0.619335
 519,   0.6695, 0.623546
 520,   0.6695, 0.619375
 521,   0.6695, 0.623235
 522,   0.6695, 0.620783
 523,   0.6695, 0.622506
 524,   0.6695,  0.61935
 525,   0.6695, 0.617076
 526,   0.6695, 0.613334
 527,   0.6695, 0.615185
 528,   0.6695, 0.620145
 529,   0.6695,  0.62057
 530,   0.6695, 0.614569
 531,   0.6695, 0.613629
 532,   0.6695, 0.617448
 533,   0.6695, 0.617281
 534,   0.6695, 0.618556
 535,   0.6695,  0.61638
 536,   0.6696,  0.61727
 537,   0.6696, 0.617973
 538,   0.6696, 0.622484
 539,   0.6696, 0.620718
 540,   0.6696, 0.617136
 541,   0.6696, 0.612358
 542,   0.6696, 0.616027
 543,   0.6696, 0.620197
 544,   0.6701, 0.618589
 545,   0.6701, 0.621427
 546,   0.6701, 0.621798
 547,   0.6701, 0.614713
 548,   0.6701, 0.618553
 549,   0.6701, 0.618364
 550,   0.6701, 0.622222
 551,   0.6701, 0.621044
 552,   0.6701, 0.621035
 553,   0.6701, 0.619254
 554,   0.6701,  0.61857
 555,   0.6701, 0.617325
 556,   0.6701, 0.619447
 557,   0.6701, 0.616953
 558,   0.6701, 0.612553
 559,   0.6701, 0.617284
 560,   0.6701, 0.616882
 561,   0.6701, 0.615702
 562,   0.6701, 0.620198
 563,   0.6701, 0.617644
 564,   0.6701,  0.61484
 565,   0.6701, 0.617676
 566,   0.6701, 0.618274
 567,   0.6701, 0.617737
 568,   0.6701, 0.621268
 569,   0.6701, 0.617118
 570,   0.6701, 0.620646
 571,   0.6701, 0.623654
 572,   0.6701,  0.62013
 573,   0.6701, 0.617944
 574,   0.6701,  0.61783
 575,   0.6701,  0.61827
 576,   0.6701, 0.620196
 577,   0.6701, 0.617469
 578,   0.6701, 0.618592
 579,   0.6701, 0.620121
 580,   0.6701, 0.621302
 581,   0.6703, 0.618496
 582,   0.6703, 0.618847
 583,   0.6703, 0.618489
 584,   0.6703,   0.6178
 585,   0.6703, 0.618934
 586,   0.6703, 0.621638
 587,   0.6704, 0.620365
 588,   0.6704,   0.6207
 589,   0.6704, 0.619491
 590,   0.6704, 0.618241
 591,   0.6704, 0.624287
 592,   0.6704, 0.621537
 593,   0.6704, 0.623322
 594,   0.6704, 0.620804
 595,   0.6704, 0.618826
 596,   0.6704, 0.619604
 597,   0.6704, 0.616624
 598,   0.6704, 0.621717
 599,   0.6704, 0.622186
 600,   0.6704, 0.623153
 601,   0.6711, 0.618078
 602,   0.6711, 0.619692
 603,   0.6711,  0.62057
 604,   0.6711, 0.620781
 605,   0.6711, 0.619026
 606,   0.6711, 0.622007
 607,   0.6711, 0.620188
 608,   0.6711, 0.622089
 609,   0.6711, 0.621465
 610,   0.6717, 0.623506
 611,   0.6729, 0.622141
 612,   0.6729, 0.618817
 613,   0.6729, 0.622934
 614,    0.673, 0.625316
 615,    0.673, 0.620278
 616,    0.673, 0.620277
 617,   0.6731, 0.622899
 618,   0.6731, 0.622548
 619,   0.6731, 0.618292
 620,   0.6731, 0.622069
 621,   0.6731, 0.623474
 622,   0.6731, 0.624726
 623,   0.6744, 0.627251
 624,   0.6744, 0.622423
 625,   0.6744, 0.630382
 626,   0.6744, 0.625188
 627,   0.6744, 0.621104
 628,   0.6744, 0.619918
 629,   0.6749, 0.619401
 630,   0.6749, 0.617554
 631,   0.6749, 0.615766
 632,   0.6751, 0.615526
 633,   0.6765, 0.614183
 634,   0.6765,  0.61699
 635,   0.6768, 0.619995
 636,   0.6768, 0.618176
 637,   0.6795, 0.619628
 638,   0.6795, 0.617786
 639,   0.6802, 0.614492
 640,   0.6802, 0.619787
 641,   0.6802, 0.617809
 642,   0.6802, 0.614165
 643,   0.6823, 0.624057
 644,   0.6823, 0.616627
 645,   0.6827, 0.619258
 646,   0.6827, 0.623691
 647,   0.6827, 0.622422
 648,   0.6827, 0.625423
 649,   0.6827, 0.624266
 650,   0.6837, 0.624609
 651,   0.6837, 0.622907
 652,   0.6837, 0.621729
 653,   0.6837, 0.620811
 654,   0.6837, 0.623977
 655,   0.6837, 0.623167
 656,   0.6837, 0.626764
 657,   0.6837, 0.628521
 658,   0.6837, 0.629066
 659,   0.6837, 0.624302
 660,   0.6838, 0.623195
 661,   0.6842, 0.628153
 662,   0.6842, 0.627525
 663,   0.6842, 0.629433
 664,   0.6842, 0.628053
 665,   0.6844, 0.624285
 666,   0.6844, 0.626763
 667,   0.6844, 0.626255
 668,   0.6844,  0.62548
 669,    0.686, 0.629022
 670,    0.686, 0.628214
 671,    0.686, 0.630694
 672,    0.686, 0.633214
 673,    0.686, 0.627645
 674,   0.6872, 0.626776
 675,   0.6872, 0.632339
 676,   0.6878, 0.632992
 677,   0.6878, 0.623987
 678,   0.6885, 0.626036
 679,   0.6885, 0.630187
 680,   0.6885, 0.629191
 681,   0.6885, 0.626734
 682,   0.6903, 0.628657
 683,   0.6903, 0.623115
 684,   0.6903, 0.630109
 685,   0.6903, 0.630865
 686,   0.6903,  0.62852
 687,   0.6917,  0.62959
 688,   0.6917, 0.629531
 689,   0.6941, 0.635503
 690,   0.6941, 0.633362
 691,   0.6941, 0.624479
 692,   0.6948, 0.632971
 693,   0.6953, 0.633012
 694,   0.6953, 0.636198
 695,   0.6953, 0.634674
 696,   0.6953, 0.640212
 697,   0.6953, 0.637926
 698,   0.6953, 0.639221
 699,   0.6953, 0.637737
 700,   0.6959, 0.631801
 701,   0.6959, 0.638114
 702,   0.6959, 0.643353
 703,   0.6959, 0.645857
 704,   0.6962, 0.643317
 705,   0.6962, 0.638006
 706,   0.6965, 0.640719
 707,   0.6966, 0.639223
 708,   0.6966,  0.64084
 709,   0.6966, 0.642238
 710,   0.6966, 0.637873
 711,    0.698, 0.638423
 712,    0.698, 0.640142
 713,    0.698, 0.638324
 714,   0.6983, 0.641376
 715,   0.6983, 0.632472
 716,   0.6984,  0.63242
 717,   0.7004, 0.631694
 718,   0.7004, 0.638588
 719,   0.7004, 0.637096
 720,   0.7006, 0.638458
 721,   0.7006, 0.637471
 722,   0.7006,  0.64102
 723,   0.7006, 0.639352
 724,   0.7012, 0.640597
 725,   0.7012, 0.638174
 726,   0.7013, 0.639485
 727,   0.7016, 0.645868
 728,   0.7016, 0.640467
 729,   0.7016, 0.639797
 730,    0.702,   0.6458
 731,    0.702, 0.642739
 732,   0.7023, 0.648426
 733,   0.7023, 0.644166
 734,   0.7042, 0.640043
 735,   0.7042, 0.646996
 736,   0.7042, 0.644027
 737,   0.7042, 0.641916
 738,   0.7042,  0.64015
 739,   0.7042, 0.643782
 740,   0.7066, 0.639648
 741,   0.7066, 0.644532
 742,   0.7066, 0.646909
 743,   0.7073, 0.643107
 744,   0.7073, 0.640448
 745,   0.7073, 0.642843
 746,   0.7073, 0.648386
 747,    0.708, 0.647661
 748,    0.708, 0.649971
 749,    0.708,  0.65071
 750,    0.708, 0.648865
 751,   0.7098, 0.650007
 752,   0.7098, 0.649765
 753,   0.7098, 0.647618
 754,   0.7098, 0.641618
 755,   0.7098, 0.644032
 756,   0.7098, 0.641627
 757,   0.7098, 0.644075
 758,   0.7098, 0.642981
 759,   0.7109, 0.643828
 760,   0.7109, 0.653077
 761,   0.7109,  0.65261
 762,   0.7109, 0.652584
 763,   0.7109, 0.648835
 764,   0.7109, 0.653641
 765,   0.7109, 0.646224
 766,   0.7109, 0.647599
 767,   0.7109, 0.652107
 768,   0.7109, 0.653091
 769,   0.7109, 0.648728
 770,   0.7109, 0.647376
 771,   0.7109, 0.653176
 772,    0.711, 0.652751
 773,    0.711, 0.653893
 774,   0.7115, 0.649312
 775,   0.7115, 0.651065
 776,   0.7115, 0.648458
 777,   0.7115, 0.652982
 778,   0.7115, 0.653474
 779,   0.7115, 0.653216
 780,    0.713, 0.655651
 781,   0.7136, 0.651261
 782,   0.7136, 0.651803
 783,   0.7136,  0.64762
 784,   0.7136, 0.648584
 785,   0.7136,  0.65185
 786,   0.7136, 0.650762
 787,   0.7141, 0.648439
 788,   0.7141, 0.652454
 789,   0.7141, 0.656906
 790,   0.7169, 0.650852
 791,   0.7169, 0.654253
 792,   0.7169,  0.65476
 793,   0.7169,  0.65955
 794,   0.7169, 0.653844
 795,   0.7169, 0.654608
 796,   0.7169, 0.654473
 797,   0.7169, 0.656029
 798,   0.7169, 0.651134
 799,   0.7169, 0.653451
 800,   0.7169, 0.652605
 801,   0.7169, 0.657611
 802,   0.7169,  0.66039
 803,   0.7169, 0.652198
 804,   0.7169, 0.653711
 805,   0.7179,  0.65583
 806,   0.7179, 0.654405
 807,   0.7182, 0.651516
 808,   0.7182, 0.655864
 809,   0.7182,  0.64712
 810,   0.7182, 0.650426
 811,   0.7182, 0.651089
 812,   0.7182, 0.658256
 813,   0.7203, 0.654789
 814,   0.7203, 0.652129
 815,   0.7203, 0.652067
 816,   0.7203, 0.655484
 817,   0.7203, 0.657433
 818,   0.7203, 0.660034
 819,   0.7203, 0.654381
 820,   0.7207, 0.651559
 821,   0.7207, 0.656063
 822,   0.7216, 0.659451
 823,   0.7216, 0.660199
 824,   0.7216, 0.652652
 825,   0.7216, 0.654844
 826,   0.7216, 0.662875
 827,   0.7216, 0.653201
 828,   0.7216, 0.657216
 829,   0.7216, 0.661869
 830,   0.7223, 0.663577
 831,   0.7223, 0.664017
 832,   0.7223, 0.662464
 833,   0.7223,  0.66101
 834,   0.7223, 0.660825
 835,   0.7223, 0.655133
 836,   0.7223, 0.658949
 837,   0.7223, 0.658264
 838,   0.7223, 0.660387
 839,   0.7223, 0.658583
 840,   0.7223, 0.661046
 841,   0.7223, 0.663397
 842,   0.7223,  0.66226
 843,   0.7223, 0.662458
 844,   0.7223, 0.664159
 845,   0.7223, 0.663823
 846,   0.7223,  0.66033
 847,   0.7223, 0.660855
 848,   0.7223, 0.655205
 849,   0.7223, 0.658901
 850,   0.7223, 0.662901
 851,   0.7227, 0.667601
 852,   0.7227,  0.66197
 853,   0.7227, 0.661573
 854,   0.7227, 0.657329
 855,   0.7229, 0.660504
 856,   0.7229, 0.669872
 857,   0.7248,   0.6602
 858,   0.7248, 0.663103
 859,   0.7248, 0.658748
 860,   0.7248, 0.660866
 861,   0.7248, 0.660173
 862,   0.7248, 0.665504
 863,   0.7248, 0.664213
 864,   0.7248, 0.664661
 865,   0.7248, 0.661105
 866,   0.7248, 0.663889
 867,   0.7248, 0.660104
 868,   0.7252, 0.665071
 869,   0.7254, 0.665854
 870,   0.7254, 0.665178
 871,   0.7254, 0.666194
 872,   0.7254, 0.658711
 873,   0.7254,   0.6602
 874,   0.7254, 0.663415
 875,   0.7254,  0.66407
 876,   0.7254, 0.659801
 877,   0.7254,  0.65887
 878,   0.7254, 0.668578
 879,   0.7254, 0.663387
 880,   0.7254, 0.660507
 881,   0.7256, 0.663848
 882,   0.7256, 0.666707
 883,   0.7264, 0.667111
 884,   0.7264, 0.672235
 885,   0.7264, 0.671546
 886,   0.7264, 0.669559
 887,   0.7264, 0.663329
 888,   0.7264, 0.663693
 889,   0.7264, 0.668647
 890,   0.7264, 0.664143
 891,   0.7264,  0.66335
 892,   0.7264, 0.666088
 893,   0.7264, 0.665446
 894,   0.7264, 0.670732
 895,   0.7264,  0.66972
 896,   0.7264, 0.667324
 897,   0.7272, 0.667431
 898,   0.7272, 0.669603
 899,   0.7272, 0.671171
 900,   0.7272, 0.664109
 901,   0.7272, 0.664672
 902,   0.7272,  0.66397
 903,   0.7272, 0.664631
 904,   0.7272, 0.668762
 905,   0.7272, 0.671436
 906,   0.7272, 0.669513
 907,   0.7272, 0.663615
 908,   0.7272, 0.665242
 909,   0.7272, 0.660872
 910,   0.7278, 0.668519
 911,   0.7278, 0.667549
 912,   0.7278, 0.666612
 913,   0.7278, 0.664322
 914,   0.7278, 0.669442
 915,   0.7278, 0.667048
 916,   0.7297,  0.66727
 917,   0.7297, 0.668633
 918,   0.7297, 0.671179
 919,   0.7297, 0.667731
 920,   0.7297,  0.66808
 921,   0.7297, 0.662601
 922,   0.7297, 0.663558
