gen, roulette_ternary_onepoint_best, roulette_ternary_onepoint_ave
 277,   0.5904, 0.419735
 278,   0.5904, 0.415971
 279,   0.5904, 0.418463
 280,   0.5904, 0.425856
 281,   0.5904, 0.418557
 282,   0.5904, 0.420473
 283,   0.5904, 0.423787
 284,   0.5904, 0.428733
 285,   0.5904, 0.422182
 286,   0.5904, 0.426542
 287,   0.5904, 0.425674
 288,   0.5904,  0.42572
 289,   0.5904, 0.423609
 290,   0.5904, 0.421405
 291,   0.5904, 0.421565
 292,   0.5904, 0.419183
 293,   0.5904, 0.419674
 294,   0.5904, 0.416074
 295,   0.5904, 0.421273
 296,   0.5904,  0.41693
 297,   0.5904,  0.42406
 298,   0.5904, 0.427613
 299,   0.5904, 0.431588
 300,   0.5904, 0.421818
 301,   0.5991, 0.421279
 302,   0.5991, 0.424704
 303,   0.5991, 0.425007
 304,   0.5991, 0.421391
 305,   0.5991, 0.425126
 306,   0.5991, 0.427711
 307,   0.5991, 0.433367
 308,   0.5991, 0.429958
 309,   0.5991, 0.430824
 310,   0.5991, 0.426095
 311,   0.5991, 0.422093
 312,   0.5991, 0.422969
 313,   0.5991, 0.417349
 314,   0.5991, 0.414308
 315,   0.5991, 0.417318
 316,   0.5991, 0.427193
 317,   0.5991, 0.425408
 318,   0.5991, 0.421874
 319,   0.5991, 0.425446
 320,   0.5991,   0.4298
 321,   0.5991,  0.42973
 322,   0.5991, 0.425912
 323,   0.5991, 0.428633
 324,   0.5991, 0.423967
 325,   0.5991,  0.42385
 326,   0.5991, 0.430357
 327,   0.5991, 0.435376
 328,   0.5991, 0.435137
 329,   0.5991, 0.435506
 330,   0.5991, 0.440492
 331,   0.5991, 0.437699
 332,   0.5991, 0.430161
 333,   0.5991, 0.424154
 334,   0.5991, 0.432417
 335,   0.5991,  0.43622
 336,   0.5991, 0.424493
 337,   0.5991, 0.428981
 338,   0.5991, 0.427712
 339,   0.5991, 0.425525
 340,   0.5991, 0.430934
 341,    0.603, 0.435618
 342,    0.603, 0.434528
 343,    0.603, 0.433544
 344,    0.603, 0.436407
 345,    0.603,  0.43694
 346,    0.603, 0.429276
 347,    0.603, 0.429999
 348,    0.603, 0.436335
 349,    0.603, 0.436128
 350,    0.603, 0.442708
 351,    0.603, 0.439334
 352,    0.603, 0.437308
 353,    0.603, 0.431663
 354,    0.603, 0.431035
 355,    0.603,  0.43535
 356,    0.603, 0.430516
 357,    0.603, 0.425077
 358,    0.603, 0.426686
 359,    0.603,  0.42837
 360,    0.603, 0.424418
 361,    0.603, 0.427105
 362,    0.603, 0.428752
 363,    0.603, 0.434475
 364,    0.603, 0.440444
 365,    0.603, 0.438261
 366,    0.603, 0.432453
 367,    0.603, 0.430295
 368,    0.603,   0.4304
 369,    0.603, 0.438711
 370,    0.603, 0.435553
 371,   0.6041,  0.43489
 372,   0.6041, 0.431969
 373,   0.6041, 0.436282
 374,   0.6041, 0.429641
 375,   0.6041, 0.429063
 376,   0.6041, 0.419328
 377,   0.6041, 0.417091
 378,   0.6041, 0.424704
 379,   0.6041, 0.424761
 380,   0.6041, 0.427848
 381,   0.6041, 0.435092
 382,   0.6041, 0.433951
 383,   0.6041, 0.433567
 384,   0.6041, 0.433716
 385,   0.6041, 0.438242
 386,   0.6041, 0.437005
 387,   0.6041, 0.434002
 388,   0.6041, 0.430502
 389,   0.6041,  0.43379
 390,   0.6041, 0.434595
 391,   0.6041, 0.434405
 392,   0.6041, 0.433558
 393,   0.6041, 0.436321
 394,   0.6041, 0.434294
 395,   0.6041, 0.422116
 396,   0.6041, 0.425411
 397,   0.6041, 0.425204
 398,   0.6041, 0.427536
 399,   0.6041, 0.424327
 400,   0.6041, 0.425555
 401,   0.6041, 0.425242
 402,   0.6041, 0.420135
 403,   0.6041, 0.421878
 404,   0.6041, 0.424987
 405,   0.6041, 0.430057
 406,   0.6041, 0.429924
 407,   0.6041, 0.425466
 408,   0.6041, 0.425986
 409,   0.6041, 0.426492
 410,   0.6041, 0.426379
 411,   0.6041, 0.433307
 412,   0.6087, 0.437696
 413,   0.6087, 0.436746
 414,   0.6087,   0.4378
 415,   0.6087, 0.441349
 416,   0.6087, 0.443172
 417,   0.6087, 0.435897
 418,   0.6087, 0.437061
 419,   0.6087, 0.431291
 420,   0.6087, 0.433856
 421,   0.6087, 0.439927
 422,   0.6087, 0.431412
 423,   0.6087, 0.430249
 424,   0.6087, 0.424523
 425,   0.6087, 0.426044
 426,   0.6087, 0.424591
 427,   0.6087, 0.428706
 428,   0.6087, 0.425904
 429,   0.6087, 0.431359
 430,   0.6087, 0.428997
 431,   0.6087,  0.43681
 432,   0.6087, 0.437775
 433,   0.6087, 0.437992
 434,   0.6087, 0.436669
 435,   0.6087, 0.437133
 436,   0.6087, 0.437801
 437,   0.6126, 0.440829
 438,   0.6126, 0.436888
 439,   0.6126, 0.435365
 440,   0.6126, 0.433531
 441,   0.6126, 0.436397
 442,   0.6126,  0.43717
 443,   0.6126, 0.433778
 444,   0.6126, 0.435435
 445,   0.6126, 0.440629
 446,   0.6126, 0.439889
 447,   0.6126, 0.441581
 448,   0.6126,  0.43956
 449,   0.6126, 0.432549
 450,   0.6126, 0.428142
 451,   0.6126, 0.433945
 452,   0.6126, 0.431393
 453,   0.6126, 0.434166
 454,   0.6126, 0.436858
 455,   0.6126, 0.438386
 456,   0.6126, 0.433961
 457,   0.6126, 0.435958
 458,   0.6126, 0.439453
 459,   0.6126, 0.440975
 460,   0.6126, 0.448487
 461,   0.6126, 0.447404
 462,   0.6126,  0.44621
 463,   0.6126, 0.440899
 464,   0.6126, 0.443317
 465,   0.6126, 0.437706
 466,   0.6126, 0.439499
 467,   0.6126, 0.445689
 468,   0.6126, 0.436149
 469,   0.6126, 0.433301
 470,   0.6126, 0.434932
 471,   0.6126, 0.434904
 472,   0.6126,  0.43597
 473,   0.6154, 0.431026
 474,   0.6154, 0.430042
 475,   0.6154, 0.428048
 476,   0.6154, 0.425128
 477,   0.6154, 0.425041
 478,   0.6154, 0.431702
 479,   0.6154, 0.436575
 480,   0.6154, 0.441901
 481,   0.6154, 0.437248
 482,   0.6154, 0.438951
 483,   0.6154, 0.446414
 484,   0.6154, 0.441925
 485,   0.6154, 0.440831
 486,   0.6154,  0.43946
 487,   0.6154, 0.441374
 488,   0.6154, 0.444773
 489,   0.6154, 0.439276
 490,   0.6154, 0.433734
 491,   0.6154, 0.434991
 492,   0.6154, 0.434969
 493,   0.6154, 0.439297
 494,   0.6154, 0.430716
 495,   0.6154,   0.4272
 496,   0.6154, 0.430522
 497,   0.6154, 0.427058
 498,   0.6154, 0.432108
 499,   0.6154,  0.43499
 500,   0.6154, 0.444159
 501,   0.6154, 0.442205
 502,   0.6154, 0.444912
 503,   0.6157, 0.442207
 504,   0.6157, 0.444897
 505,   0.6157, 0.448342
 506,   0.6157, 0.451932
 507,   0.6157, 0.444235
 508,   0.6157,  0.44614
 509,   0.6157,  0.44721
 510,   0.6157, 0.447785
 511,   0.6157, 0.450051
 512,   0.6157, 0.445587
 513,   0.6157, 0.446711
 514,   0.6157, 0.449863
 515,   0.6157, 0.447095
 516,   0.6157, 0.446499
 517,   0.6157, 0.447718
 518,   0.6157, 0.447069
 519,   0.6157, 0.443554
 520,   0.6157, 0.440246
 521,   0.6157, 0.440603
 522,   0.6157,  0.44244
 523,   0.6166, 0.442552
 524,   0.6166, 0.440386
 525,   0.6166, 0.445202
 526,   0.6166, 0.443028
 527,   0.6166, 0.446546
 528,   0.6166, 0.450033
 529,   0.6166, 0.453221
 530,   0.6166, 0.460906
 531,   0.6166, 0.454637
 532,   0.6166, 0.454241
 533,   0.6166, 0.455373
 534,   0.6166, 0.461461
 535,   0.6166,  0.45811
 536,   0.6166,  0.45716
 537,   0.6166, 0.454844
 538,   0.6166, 0.450675
 539,   0.6166, 0.453797
 540,   0.6166, 0.457128
 541,   0.6166, 0.452401
 542,   0.6166, 0.454379
 543,   0.6166, 0.453967
 544,   0.6166, 0.454273
 545,   0.6166, 0.450743
 546,   0.6166, 0.445027
 547,   0.6166, 0.448342
 548,   0.6166,  0.44879
 549,   0.6166, 0.446538
 550,   0.6166, 0.443529
 551,   0.6166, 0.437981
 552,   0.6166, 0.437095
 553,   0.6166, 0.443594
 554,   0.6168, 0.445822
 555,   0.6168,  0.44476
 556,   0.6168, 0.445967
 557,   0.6168, 0.443481
 558,   0.6168, 0.441771
 559,   0.6168,  0.44106
 560,   0.6168,  0.43769
 561,   0.6168, 0.438839
 562,   0.6168, 0.444279
 563,   0.6168, 0.433547
 564,   0.6168, 0.434265
 565,   0.6168, 0.439828
 566,   0.6168, 0.447993
 567,   0.6168, 0.446708
 568,   0.6168, 0.440662
 569,   0.6168,  0.44305
 570,   0.6168, 0.445716
 571,   0.6168, 0.445984
 572,   0.6168, 0.444319
 573,   0.6168, 0.452071
 574,   0.6168, 0.449566
 575,   0.6168, 0.437652
 576,   0.6168, 0.436229
 577,   0.6183, 0.444527
 578,   0.6183, 0.449482
 579,   0.6183, 0.444608
 580,   0.6183, 0.439721
 581,   0.6183,  0.44065
 582,   0.6183, 0.444208
 583,   0.6183, 0.440173
 584,   0.6183, 0.442258
 585,   0.6183, 0.452363
 586,   0.6183, 0.445544
 587,   0.6183, 0.436606
 588,   0.6183,  0.43912
 589,   0.6183, 0.435228
 590,   0.6183,  0.44366
 591,   0.6183, 0.439716
 592,   0.6183, 0.444562
 593,   0.6183, 0.452534
 594,   0.6183, 0.452218
 595,   0.6183, 0.448343
 596,   0.6183, 0.443465
 597,   0.6183, 0.442616
 598,   0.6183, 0.436893
 599,   0.6183, 0.448404
 600,   0.6183, 0.441213
 601,   0.6183, 0.440805
 602,   0.6183,  0.44127
 603,   0.6183, 0.439582
 604,   0.6183, 0.435749
 605,   0.6183, 0.443673
 606,   0.6183, 0.444269
 607,   0.6183, 0.438529
 608,   0.6183, 0.434337
 609,   0.6183, 0.439579
 610,   0.6183, 0.438726
 611,   0.6183, 0.444366
 612,   0.6196, 0.450176
 613,   0.6196, 0.453092
 614,   0.6196, 0.458242
 615,   0.6196, 0.448171
 616,   0.6196, 0.450943
 617,   0.6196, 0.442941
 618,   0.6206,  0.44194
 619,   0.6206, 0.443204
 620,   0.6206, 0.448993
 621,   0.6206, 0.452529
 622,   0.6206, 0.454859
 623,   0.6206, 0.452354
 624,   0.6206, 0.450104
 625,   0.6206, 0.454815
 626,   0.6206, 0.453971
 627,   0.6206, 0.453928
 628,   0.6206,  0.45505
 629,   0.6206, 0.453494
 630,   0.6206, 0.453753
 631,   0.6206, 0.454217
 632,   0.6206, 0.461456
 633,   0.6206, 0.459366
 634,   0.6206, 0.454937
 635,   0.6206, 0.454223
 636,   0.6206, 0.452879
 637,   0.6206, 0.459667
 638,   0.6206, 0.459637
 639,   0.6206, 0.458916
 640,   0.6206, 0.458667
 641,   0.6206,  0.45363
 642,   0.6206, 0.449414
 643,   0.6206, 0.448759
 644,   0.6206,  0.44619
 645,   0.6206, 0.450067
 646,   0.6206, 0.453996
 647,   0.6206,  0.45913
 648,   0.6206, 0.460997
 649,   0.6206, 0.463057
 650,   0.6206, 0.464052
 651,   0.6206, 0.467671
 652,   0.6206, 0.470798
 653,   0.6206, 0.463751
 654,   0.6206, 0.460306
 655,   0.6206, 0.459672
 656,   0.6222, 0.460182
 657,   0.6222, 0.455772
 658,   0.6222, 0.449712
 659,   0.6222, 0.454394
 660,   0.6222, 0.461507
 661,   0.6222, 0.455537
 662,   0.6232,  0.45615
 663,   0.6232, 0.455435
 664,   0.6241, 0.457496
 665,   0.6241, 0.462707
 666,   0.6241, 0.459693
 667,   0.6241, 0.460045
 668,   0.6241, 0.461908
 669,   0.6241, 0.460459
 670,   0.6241, 0.458677
 671,   0.6241, 0.455192
 672,   0.6241, 0.456082
 673,   0.6241, 0.462234
 674,   0.6241, 0.460012
 675,   0.6241, 0.460692
 676,   0.6241,  0.45629
 677,   0.6241,  0.45599
 678,   0.6241, 0.446514
 679,   0.6241, 0.452912
 680,   0.6241, 0.461237
 681,   0.6241, 0.460533
 682,   0.6241, 0.459315
 683,   0.6241, 0.463928
 684,   0.6241, 0.463701
 685,   0.6241, 0.460649
 686,   0.6241, 0.462683
 687,   0.6241, 0.456569
 688,   0.6241, 0.452612
 689,   0.6241,  0.45846
 690,   0.6241, 0.452529
 691,   0.6241, 0.452507
 692,   0.6241, 0.448031
 693,   0.6241, 0.452354
 694,   0.6241, 0.455581
 695,   0.6241,  0.45731
 696,   0.6241, 0.450254
 697,   0.6241, 0.451282
 698,   0.6241, 0.452626
 699,   0.6241, 0.454182
 700,   0.6241, 0.452741
 701,   0.6241, 0.453761
 702,   0.6241, 0.459183
 703,   0.6241, 0.456239
 704,   0.6241,  0.45584
 705,   0.6241, 0.450951
 706,   0.6241, 0.450951
 707,   0.6241, 0.448821
 708,   0.6241, 0.449394
 709,   0.6241, 0.455967
 710,   0.6241, 0.448668
 711,   0.6241, 0.443945
 712,   0.6241, 0.454397
 713,   0.6241, 0.455131
 714,   0.6241, 0.457778
 715,   0.6264, 0.452906
 716,   0.6264, 0.453503
 717,   0.6264,  0.45267
 718,   0.6264, 0.451073
 719,   0.6264, 0.442881
 720,   0.6264, 0.448128
 721,   0.6264, 0.455439
 722,   0.6264, 0.448088
 723,   0.6264,  0.44953
 724,   0.6264,  0.45319
 725,   0.6264, 0.457493
 726,   0.6272, 0.451115
 727,   0.6272, 0.452836
 728,   0.6272, 0.449454
 729,   0.6272, 0.447968
 730,   0.6272, 0.451587
 731,   0.6272, 0.454681
 732,   0.6272, 0.459183
 733,   0.6272, 0.459384
 734,   0.6272, 0.457817
 735,   0.6272, 0.458166
 736,   0.6272, 0.455866
