gen, roulette_ternary_twopoint_best, roulette_ternary_twopoint_ave
 255,   0.5887, 0.406701
 256,   0.5887, 0.408572
 257,   0.5887, 0.419057
 258,   0.5887, 0.413657
 259,   0.5887, 0.414998
 260,   0.5887, 0.414968
 261,   0.5887, 0.405984
 262,   0.5887,  0.40319
 263,   0.5887, 0.405832
 264,   0.5895, 0.407951
 265,   0.5895, 0.413335
 266,   0.5895, 0.412965
 267,   0.5895, 0.416291
 268,   0.5895, 0.412799
 269,   0.5895, 0.418186
 270,   0.5895, 0.413202
 271,   0.5895, 0.417034
 272,   0.5895, 0.414035
 273,   0.5895, 0.407696
 274,   0.5895, 0.414471
 275,   0.5948, 0.418734
 276,   0.5948, 0.423555
 277,   0.5948,   0.4182
 278,   0.5948, 0.415374
 279,   0.5948, 0.416507
 280,   0.5948,  0.41166
 281,   0.5981,  0.41141
 282,   0.5981, 0.408877
 283,   0.5981, 0.405035
 284,   0.5981, 0.409842
 285,   0.5981, 0.416546
 286,   0.5981, 0.415642
 287,   0.5981, 0.417744
 288,   0.5981,  0.41032
 289,   0.5981, 0.411441
 290,   0.5981, 0.407806
 291,   0.5981, 0.416978
 292,   0.5981, 0.412085
 293,   0.5981, 0.416441
 294,   0.5981, 0.419064
 295,   0.5981, 0.420161
 296,   0.5981, 0.422949
 297,   0.5981, 0.422917
 298,   0.5981, 0.414136
 299,   0.5981, 0.415501
 300,   0.5983, 0.415408
 301,   0.5983, 0.408911
 302,   0.5983, 0.409768
 303,    0.603, 0.415574
 304,    0.603, 0.410889
 305,   0.6074, 0.409175
 306,   0.6074, 0.402687
 307,   0.6074, 0.405981
 308,   0.6074, 0.405122
 309,   0.6074,  0.40661
 310,   0.6074, 0.415044
 311,   0.6074, 0.423316
 312,   0.6074, 0.424521
 313,   0.6074,  0.42454
 314,   0.6074,  0.42476
 315,    0.608, 0.424911
 316,    0.608, 0.421268
 317,    0.609,  0.42517
 318,    0.611,  0.41273
 319,    0.611, 0.415396
 320,    0.611, 0.423007
 321,    0.611, 0.422549
 322,    0.611, 0.423142
 323,    0.611,  0.42205
 324,    0.611, 0.423469
 325,    0.611,   0.4241
 326,    0.611, 0.424696
 327,    0.611, 0.426488
 328,    0.611, 0.431542
 329,    0.611, 0.420496
 330,    0.611, 0.426905
 331,    0.611, 0.425931
 332,    0.611, 0.422841
 333,    0.611, 0.430457
 334,    0.611,  0.42646
 335,    0.611, 0.426701
 336,    0.611, 0.428733
 337,    0.611, 0.429922
