gen, roulette_ternary_uniform_best, roulette_ternary_uniform_ave
 317,   0.5968,  0.39944
 318,   0.5968, 0.396865
 319,   0.5968, 0.397691
 320,   0.5968, 0.406471
 321,   0.5968, 0.408191
 322,   0.5968, 0.405441
 323,   0.5968, 0.399611
 324,   0.5968, 0.397904
 325,   0.5968, 0.399452
 326,   0.5968, 0.400916
 327,   0.5968,   0.4047
 328,   0.5968, 0.405628
 329,   0.5968, 0.403146
 330,   0.5968, 0.398428
 331,   0.5968, 0.398586
 332,   0.5968, 0.403609
 333,   0.5968, 0.402091
 334,   0.5968, 0.401361
 335,   0.5968,  0.39937
 336,   0.5968, 0.396863
 337,   0.5968, 0.395393
 338,   0.5968, 0.399018
 339,   0.5968, 0.398719
 340,   0.5968, 0.400721
 341,   0.5968, 0.399948
 342,   0.5968, 0.404588
 343,   0.5968, 0.404074
 344,   0.5968, 0.403076
 345,   0.5968, 0.408656
 346,   0.5968, 0.405603
 347,   0.5968, 0.408912
 348,   0.5968, 0.406041
 349,   0.5968, 0.409088
 350,   0.5968, 0.404888
 351,   0.5968, 0.408979
 352,   0.5968, 0.406695
 353,   0.5968, 0.404291
 354,   0.5968, 0.411679
 355,   0.5968, 0.410412
 356,   0.5968, 0.414811
 357,   0.5968, 0.417123
 358,   0.5968, 0.416181
 359,   0.5968, 0.414806
 360,   0.5968,  0.41992
 361,   0.5968, 0.413458
 362,   0.5968, 0.416242
 363,   0.5968, 0.412696
 364,   0.5968, 0.415137
 365,   0.5968, 0.417347
 366,   0.5968, 0.409755
 367,   0.5968, 0.425274
 368,   0.5968, 0.421159
 369,   0.5968, 0.424727
 370,   0.5968, 0.418154
 371,   0.5968, 0.415695
 372,   0.5983, 0.419643
 373,   0.5983, 0.424158
 374,   0.5983, 0.423918
 375,   0.5983, 0.420204
 376,   0.5983, 0.422973
 377,   0.5983, 0.417423
 378,   0.5983, 0.420444
 379,   0.5983, 0.423826
 380,   0.5983, 0.416489
 381,   0.5983, 0.422289
 382,   0.5983, 0.423229
 383,   0.5983, 0.423792
 384,   0.5983, 0.420155
 385,   0.5983, 0.426107
 386,   0.5983, 0.421334
 387,   0.5983, 0.418009
 388,   0.5983, 0.417141
 389,   0.5983, 0.417914
 390,   0.5983, 0.419276
 391,   0.5983, 0.422783
 392,   0.6069, 0.423588
 393,   0.6069,  0.42526
 394,   0.6069, 0.421669
 395,   0.6069, 0.421317
 396,   0.6069, 0.417736
 397,   0.6069, 0.423387
 398,   0.6069, 0.429821
 399,   0.6069, 0.423596
 400,   0.6069, 0.420301
 401,   0.6069, 0.418883
 402,   0.6069, 0.417621
 403,   0.6069, 0.421539
 404,   0.6069, 0.413072
 405,   0.6069, 0.413188
 406,   0.6069, 0.411016
 407,   0.6069, 0.415702
 408,   0.6069, 0.413937
 409,   0.6069, 0.416333
 410,   0.6069, 0.418423
 411,   0.6069,   0.4198
 412,   0.6069, 0.408361
 413,   0.6069, 0.413897
 414,   0.6069, 0.419914
 415,   0.6069, 0.416924
 416,   0.6069, 0.412304
 417,   0.6069, 0.411404
 418,   0.6069, 0.417059
 419,   0.6069,  0.41305
 420,   0.6069, 0.418611
 421,   0.6069, 0.421286
 422,   0.6069, 0.415729
 423,   0.6069, 0.419506
 424,   0.6069, 0.420295
 425,   0.6069, 0.417272
 426,   0.6069,  0.42384
 427,   0.6069, 0.415734
 428,   0.6069, 0.410748
 429,   0.6069, 0.408973
 430,   0.6069, 0.421716
 431,   0.6069, 0.426995
 432,   0.6069, 0.416275
 433,   0.6069, 0.423519
 434,   0.6069,  0.42292
 435,   0.6069, 0.425256
 436,   0.6069, 0.422812
 437,   0.6069, 0.421699
 438,   0.6069,   0.4254
 439,   0.6069, 0.417056
 440,   0.6069, 0.415394
 441,   0.6069, 0.417825
 442,   0.6069,  0.42142
 443,   0.6069, 0.418148
 444,   0.6069,  0.42858
 445,   0.6069, 0.425308
 446,   0.6069, 0.426668
 447,   0.6069, 0.424298
 448,   0.6069, 0.423974
 449,   0.6069, 0.430156
 450,   0.6069,  0.42846
 451,   0.6069, 0.428509
 452,   0.6069, 0.429109
 453,   0.6069, 0.430274
 454,   0.6069, 0.429266
 455,   0.6069, 0.428867
 456,   0.6069, 0.424689
 457,   0.6069, 0.428686
 458,   0.6069, 0.428728
 459,   0.6069, 0.428632
 460,   0.6069, 0.431881
 461,   0.6181, 0.430048
 462,   0.6181, 0.434998
 463,   0.6181,  0.43668
 464,   0.6181, 0.440362
 465,   0.6181, 0.436627
 466,   0.6181, 0.429235
 467,   0.6181, 0.431307
 468,   0.6181, 0.429161
 469,   0.6346, 0.433952
 470,   0.6346, 0.438353
 471,   0.6346, 0.436072
 472,   0.6346, 0.431385
 473,   0.6346, 0.421647
 474,   0.6346, 0.427175
 475,   0.6346, 0.429966
 476,   0.6346, 0.430876
 477,   0.6346, 0.429676
 478,   0.6346, 0.439432
 479,   0.6346, 0.440826
 480,   0.6346,  0.43812
 481,   0.6346,  0.44224
 482,   0.6346, 0.446508
 483,   0.6346, 0.446896
 484,   0.6346, 0.441291
 485,   0.6346, 0.437147
 486,   0.6346, 0.438511
 487,   0.6346, 0.435955
 488,   0.6346, 0.435861
 489,   0.6346, 0.439026
 490,   0.6346, 0.443431
 491,   0.6346, 0.445114
 492,   0.6346, 0.442173
 493,   0.6346, 0.442781
 494,   0.6346, 0.438043
 495,   0.6346,  0.43282
 496,   0.6346, 0.433809
 497,   0.6346, 0.429106
 498,   0.6346,  0.43214
 499,   0.6346, 0.439155
 500,   0.6346, 0.435474
 501,   0.6346, 0.431138
 502,   0.6346,  0.43618
 503,   0.6346, 0.433842
 504,   0.6346, 0.441662
 505,   0.6346, 0.445193
 506,   0.6346, 0.439916
 507,   0.6346,  0.44351
 508,   0.6346, 0.445907
 509,   0.6346, 0.449296
 510,   0.6346,  0.44122
 511,   0.6346, 0.434824
 512,   0.6346, 0.434874
 513,   0.6346, 0.438231
 514,   0.6346, 0.449648
 515,   0.6346, 0.450764
 516,   0.6346, 0.444059
 517,   0.6346, 0.441747
 518,   0.6346, 0.438476
