gen, roulette_float_twopoint_best, roulette_float_twopoint_ave
 426,    0.616, 0.440658
 427,   0.6196, 0.440849
 428,   0.6196, 0.437486
 429,   0.6196, 0.432512
 430,   0.6196, 0.441255
 431,   0.6196, 0.432877
 432,   0.6196, 0.441457
 433,   0.6196, 0.444446
 434,   0.6196, 0.454367
 435,   0.6196, 0.442248
 436,   0.6196, 0.435835
 437,   0.6196, 0.437694
 438,   0.6203, 0.438984
 439,   0.6203, 0.442083
 440,   0.6203, 0.434986
 441,   0.6288, 0.438021
 442,   0.6288, 0.445474
 443,   0.6288, 0.441471
 444,   0.6288, 0.438432
 445,   0.6288, 0.435641
 446,   0.6288, 0.435549
 447,   0.6288, 0.436086
 448,   0.6288, 0.439898
 449,   0.6288,  0.43731
 450,   0.6288,  0.43721
 451,   0.6295, 0.438454
 452,   0.6295, 0.442122
 453,   0.6295, 0.443373
 454,   0.6295, 0.441147
 455,   0.6295, 0.442936
 456,   0.6295, 0.449549
 457,   0.6295, 0.457737
 458,   0.6295,  0.45685
 459,   0.6295, 0.453103
 460,   0.6295, 0.449277
 461,   0.6295, 0.454307
 462,   0.6295,  0.45318
 463,   0.6343,  0.44743
 464,   0.6343, 0.445044
 465,   0.6343, 0.446478
 466,   0.6343, 0.448596
 467,   0.6343, 0.440385
 468,   0.6343, 0.442229
 469,   0.6343,  0.44016
 470,   0.6362, 0.449291
 471,   0.6362, 0.446739
 472,   0.6362, 0.449593
 473,   0.6362, 0.450323
 474,   0.6362, 0.452127
 475,   0.6362, 0.463104
 476,   0.6362, 0.463635
 477,   0.6362, 0.466991
 478,   0.6362, 0.468288
 479,   0.6362, 0.464762
 480,   0.6362, 0.457421
 481,   0.6362, 0.461237
 482,   0.6362, 0.455134
 483,   0.6362, 0.453561
 484,   0.6362, 0.455734
 485,   0.6362, 0.448468
 486,   0.6362, 0.452154
 487,   0.6362, 0.462536
 488,   0.6362, 0.458328
 489,   0.6362, 0.457187
 490,   0.6362, 0.446734
 491,   0.6362,  0.45195
 492,   0.6362, 0.449153
 493,   0.6362, 0.447208
 494,   0.6424, 0.448788
 495,   0.6424, 0.447843
 496,   0.6424, 0.448492
 497,   0.6424, 0.455286
 498,   0.6424,  0.45326
 499,   0.6424, 0.459642
 500,   0.6424, 0.462341
 501,   0.6424, 0.462415
 502,   0.6424, 0.460268
 503,   0.6424, 0.453787
 504,   0.6424,  0.44741
 505,   0.6424,  0.44842
 506,   0.6424, 0.450204
 507,   0.6424, 0.461966
 508,   0.6424, 0.465635
 509,   0.6424,  0.46771
 510,   0.6424, 0.461592
 511,   0.6424, 0.452848
 512,   0.6424, 0.452154
 513,   0.6424, 0.450249
 514,   0.6424, 0.445145
 515,   0.6424, 0.446549
 516,   0.6424, 0.450482
 517,   0.6424, 0.453214
 518,   0.6424, 0.444847
 519,   0.6424, 0.452866
 520,   0.6424, 0.449612
 521,   0.6424, 0.445676
 522,   0.6424, 0.460196
 523,   0.6424,  0.45697
 524,   0.6424, 0.460373
 525,   0.6424, 0.465865
 526,   0.6424, 0.460491
 527,   0.6424, 0.463404
 528,   0.6424, 0.459395
 529,   0.6424, 0.459047
 530,   0.6424, 0.456838
 531,   0.6424, 0.465195
 532,   0.6424, 0.468868
 533,   0.6494, 0.461859
 534,   0.6494, 0.459588
 535,   0.6494, 0.458293
 536,   0.6494,  0.46444
 537,   0.6494, 0.465688
 538,   0.6494, 0.462221
 539,   0.6494, 0.456266
 540,   0.6494, 0.456918
 541,   0.6494, 0.457225
 542,   0.6494, 0.455514
 543,   0.6494, 0.458508
 544,   0.6494, 0.466302
 545,   0.6494, 0.473134
 546,   0.6494, 0.462767
 547,   0.6494, 0.466074
 548,   0.6494, 0.466597
 549,   0.6494, 0.476274
 550,   0.6494, 0.468951
 551,   0.6494, 0.471376
 552,   0.6494, 0.465424
 553,   0.6494, 0.464691
 554,   0.6494, 0.466573
 555,   0.6494, 0.462784
 556,   0.6494, 0.464503
 557,   0.6494, 0.469703
 558,   0.6494, 0.468266
 559,   0.6494, 0.468296
 560,   0.6494, 0.464527
 561,   0.6494,  0.46974
 562,   0.6494, 0.468273
 563,   0.6494, 0.466517
 564,   0.6494, 0.464278
 565,   0.6494, 0.463419
 566,   0.6494, 0.460076
 567,   0.6494, 0.462658
 568,   0.6494, 0.459146
 569,   0.6494, 0.457008
 570,   0.6494, 0.466884
 571,   0.6494,  0.46588
 572,   0.6494, 0.470945
 573,   0.6494, 0.466772
 574,   0.6494, 0.458481
 575,   0.6494, 0.460521
 576,   0.6494, 0.462599
 577,   0.6494, 0.467806
 578,   0.6494, 0.473462
 579,   0.6494, 0.478773
 580,   0.6494, 0.481716
 581,   0.6494, 0.473387
 582,   0.6494, 0.476144
 583,   0.6494, 0.478102
 584,   0.6494, 0.470464
 585,   0.6494, 0.472848
 586,   0.6494, 0.468138
 587,   0.6494, 0.471797
 588,   0.6494, 0.462328
 589,   0.6494, 0.463116
 590,   0.6494, 0.460579
 591,   0.6494, 0.464285
 592,   0.6494, 0.456428
 593,   0.6494, 0.455306
 594,   0.6494, 0.458026
 595,   0.6494, 0.459439
 596,   0.6494, 0.462438
 597,   0.6494,   0.4624
 598,   0.6499, 0.467555
 599,   0.6499, 0.464633
 600,   0.6499, 0.458742
 601,   0.6499, 0.456219
 602,   0.6499, 0.459703
 603,   0.6499, 0.462598
 604,   0.6499, 0.470816
 605,   0.6499, 0.463068
 606,   0.6499, 0.460604
 607,   0.6499, 0.462061
 608,   0.6499, 0.465459
 609,   0.6499, 0.466298
 610,   0.6499, 0.462204
 611,   0.6499,  0.46094
 612,   0.6499, 0.461354
 613,   0.6499, 0.464574
 614,   0.6499, 0.471626
 615,   0.6499, 0.467729
 616,   0.6499, 0.465592
 617,   0.6499, 0.466737
 618,   0.6499, 0.464258
 619,   0.6499,  0.45711
 620,   0.6499, 0.448026
 621,   0.6499, 0.451534
 622,   0.6499, 0.450489
 623,   0.6499,  0.45828
 624,   0.6499, 0.456879
 625,   0.6499, 0.457295
 626,   0.6499, 0.458606
 627,   0.6499, 0.458293
 628,   0.6499, 0.457137
 629,   0.6499, 0.459435
 630,   0.6499, 0.457668
 631,   0.6499, 0.455552
 632,   0.6499, 0.455907
 633,   0.6499, 0.454939
 634,   0.6499, 0.457592
 635,   0.6499, 0.455121
 636,   0.6499, 0.458776
 637,   0.6499, 0.452983
 638,   0.6499, 0.455772
 639,   0.6499, 0.456141
 640,   0.6499, 0.454122
 641,   0.6499, 0.448793
 642,   0.6499, 0.449679
 643,   0.6499, 0.457848
 644,   0.6499, 0.458958
 645,   0.6499, 0.459274
 646,    0.653, 0.454219
 647,    0.653, 0.452803
 648,    0.653, 0.452588
 649,    0.653, 0.456744
 650,   0.6537, 0.459689
 651,   0.6563, 0.463696
 652,   0.6563, 0.468773
 653,   0.6563, 0.463383
 654,   0.6563, 0.462629
