gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 298,   0.5589, 0.351465
 299,   0.5589, 0.354784
 300,   0.5589, 0.352552
 301,   0.5589, 0.352476
 302,   0.5589,  0.35129
 303,   0.5589, 0.347061
 304,   0.5589, 0.350944
 305,   0.5589, 0.349987
 306,   0.5589, 0.350468
 307,   0.5589, 0.353698
 308,   0.5589, 0.353234
 309,   0.5589, 0.347921
 310,   0.5589, 0.348765
 311,   0.5589, 0.343977
 312,   0.5589, 0.350859
 313,   0.5589, 0.355899
 314,   0.5589, 0.354394
 315,   0.5589, 0.353096
 316,   0.5589, 0.351615
 317,   0.5589, 0.352417
 318,   0.5589, 0.352675
 319,   0.5589, 0.348956
 320,   0.5589, 0.346883
 321,   0.5589, 0.356665
 322,   0.5589, 0.352471
 323,   0.5589, 0.353217
 324,   0.5589,  0.35527
 325,   0.5589, 0.353265
 326,   0.5589,  0.35054
 327,   0.5589,  0.35444
 328,   0.5589, 0.352773
 329,   0.5589, 0.348238
 330,   0.5589, 0.352558
 331,   0.5589, 0.361687
 332,   0.5589, 0.356831
 333,   0.5589, 0.355889
 334,   0.5589, 0.362505
 335,   0.5589, 0.361217
 336,   0.5589, 0.357908
 337,   0.5589, 0.353215
 338,   0.5589, 0.351774
 339,   0.5589, 0.357154
 340,   0.5589, 0.353755
 341,   0.5589, 0.352548
 342,   0.5589, 0.355008
 343,   0.5589, 0.355595
 344,   0.5589, 0.361999
 345,   0.5589, 0.359491
 346,   0.5589, 0.360514
 347,   0.5589, 0.360745
 348,   0.5589, 0.356487
 349,   0.5589, 0.362806
 350,   0.5589,  0.35983
 351,   0.5589, 0.365511
 352,   0.5589, 0.358154
 353,   0.5589, 0.361098
 354,   0.5589, 0.360373
 355,   0.5589, 0.364688
 356,   0.5589,  0.36281
 357,   0.5589, 0.360498
 358,   0.5589, 0.373369
 359,   0.5589, 0.365214
 360,   0.5589, 0.369805
 361,   0.5589, 0.372617
 362,   0.5589, 0.373033
 363,   0.5589, 0.372876
 364,   0.5589, 0.371886
 365,   0.5561, 0.369199
 366,   0.5561, 0.369001
 367,   0.5561, 0.367843
 368,   0.5561, 0.364855
 369,   0.5561, 0.366598
 370,   0.5561, 0.367418
 371,   0.5561, 0.368465
 372,   0.5561, 0.363685
 373,   0.5561, 0.374004
 374,   0.5561, 0.373432
 375,   0.5561, 0.365746
 376,   0.5561, 0.370219
 377,   0.5561, 0.369691
 378,   0.5561, 0.368852
 379,   0.5492, 0.371107
 380,   0.5492, 0.368401
 381,   0.5492,  0.36816
 382,   0.5492, 0.371018
 383,   0.5492, 0.365387
 384,   0.5492, 0.363547
 385,   0.5492,  0.36823
 386,   0.5492, 0.361668
