gen, roulette_scalar_onepoint_best, roulette_scalar_onepoint_ave
 664,    0.649, 0.469199
 665,    0.649, 0.470476
 666,    0.649, 0.466248
 667,    0.649, 0.472156
 668,    0.649, 0.476255
 669,    0.649, 0.478432
 670,    0.649, 0.474109
 671,    0.649, 0.482789
 672,    0.649, 0.481307
 673,    0.649, 0.480578
 674,    0.649, 0.476779
 675,    0.649, 0.476464
 676,    0.649, 0.484227
 677,   0.6521, 0.486272
 678,   0.6521, 0.486639
 679,   0.6521, 0.488048
 680,   0.6521, 0.491142
 681,   0.6521, 0.486086
 682,   0.6521, 0.483656
 683,   0.6521, 0.483332
 684,   0.6521, 0.479136
 685,   0.6521, 0.480207
 686,   0.6521,  0.48162
 687,   0.6462, 0.480475
 688,   0.6462, 0.477324
 689,   0.6462, 0.478537
 690,   0.6462, 0.478396
 691,   0.6462, 0.479482
 692,   0.6462, 0.476725
 693,   0.6462, 0.474544
 694,   0.6462, 0.470076
 695,   0.6462, 0.460275
 696,   0.6462, 0.465996
 697,   0.6462, 0.468865
 698,   0.6508, 0.466592
 699,   0.6508, 0.473433
 700,   0.6508, 0.470123
 701,   0.6508, 0.470911
 702,   0.6508, 0.466415
 703,   0.6508, 0.459266
 704,   0.6508, 0.464702
 705,   0.6508, 0.467072
 706,   0.6508, 0.463031
 707,   0.6463, 0.470877
 708,   0.6463, 0.468031
 709,   0.6553, 0.472667
 710,   0.6553, 0.480085
 711,   0.6553, 0.473863
 712,   0.6553, 0.473287
 713,   0.6611, 0.472897
 714,   0.6611, 0.473026
 715,   0.6611, 0.470027
 716,   0.6611, 0.465562
 717,   0.6611, 0.467534
 718,   0.6611, 0.465826
 719,   0.6587, 0.461019
 720,   0.6587, 0.472645
 721,   0.6587, 0.472552
 722,   0.6587, 0.470671
 723,   0.6587, 0.475812
 724,   0.6587, 0.471463
 725,   0.6587, 0.475001
 726,   0.6587, 0.484067
 727,   0.6587, 0.479814
 728,   0.6587, 0.484959
 729,   0.6587, 0.481824
 730,   0.6587, 0.478508
 731,   0.6587, 0.480299
 732,   0.6587, 0.481833
 733,   0.6587,  0.47803
 734,   0.6587, 0.480026
 735,   0.6587, 0.471333
 736,   0.6587, 0.472582
 737,   0.6587,  0.47465
 738,   0.6587, 0.478765
 739,   0.6587, 0.474457
 740,   0.6587, 0.474306
 741,   0.6587, 0.481928
 742,   0.6587, 0.480963
 743,   0.6587, 0.482282
 744,   0.6587, 0.480232
 745,   0.6587, 0.475958
 746,   0.6587, 0.478065
 747,   0.6587,  0.47899
 748,   0.6587, 0.482995
 749,   0.6587, 0.487915
 750,   0.6587, 0.484731
 751,   0.6587, 0.488773
 752,   0.6587, 0.487402
 753,   0.6544, 0.484899
 754,   0.6544, 0.485194
 755,   0.6544, 0.480062
 756,   0.6544, 0.484724
 757,   0.6544, 0.482069
 758,   0.6544, 0.475909
 759,   0.6544, 0.475466
 760,   0.6544, 0.473155
 761,   0.6544, 0.475603
 762,   0.6559, 0.473974
 763,   0.6559, 0.477918
 764,   0.6559, 0.474589
 765,   0.6559, 0.469007
 766,   0.6559, 0.468087
 767,   0.6559,  0.47396
 768,   0.6559, 0.472521
 769,   0.6559, 0.472777
 770,   0.6559, 0.472041
 771,   0.6559, 0.470641
 772,   0.6559, 0.476344
 773,   0.6559, 0.478246
 774,   0.6559, 0.482912
 775,   0.6559, 0.486906
 776,   0.6559, 0.480923
 777,   0.6559, 0.480519
 778,   0.6559, 0.488205
 779,   0.6559, 0.473935
 780,   0.6559, 0.476486
 781,   0.6559, 0.479201
 782,   0.6559,  0.48496
 783,   0.6559, 0.475183
 784,   0.6625, 0.477689
 785,   0.6625, 0.472844
 786,   0.6625, 0.479891
 787,   0.6625,  0.47695
 788,   0.6625, 0.477435
 789,   0.6625, 0.481173
 790,   0.6625, 0.481318
 791,   0.6625, 0.476546
 792,   0.6625, 0.483023
 793,   0.6625, 0.479552
 794,   0.6625, 0.480562
 795,   0.6625, 0.478747
 796,   0.6625,  0.47251
 797,   0.6625, 0.476322
 798,   0.6625, 0.478127
 799,   0.6625, 0.473226
 800,   0.6625, 0.474092
 801,   0.6625, 0.476258
 802,   0.6625, 0.476755
 803,   0.6625, 0.469851
 804,   0.6625, 0.467528
 805,   0.6625, 0.465423
 806,   0.6625, 0.465182
 807,   0.6625, 0.467012
 808,     0.66, 0.465698
 809,     0.66,  0.47151
 810,     0.66, 0.469749
 811,     0.66, 0.475834
 812,     0.66, 0.479486
 813,     0.66, 0.486967
 814,     0.66, 0.484627
 815,     0.66, 0.480224
 816,     0.66, 0.482183
 817,     0.66, 0.483623
 818,     0.66, 0.482206
 819,     0.66, 0.478798
 820,     0.66, 0.468175
 821,     0.66, 0.479745
 822,     0.66, 0.473032
 823,     0.66,  0.47374
 824,   0.6601, 0.469097
 825,   0.6601, 0.469902
 826,   0.6601, 0.469123
 827,   0.6601, 0.472402
 828,   0.6601, 0.474426
 829,   0.6601, 0.470041
 830,   0.6601, 0.472596
 831,   0.6601, 0.474168
 832,   0.6601,  0.47179
 833,   0.6601,  0.46732
 834,   0.6601,  0.47189
 835,   0.6601, 0.474935
 836,   0.6601, 0.470234
 837,   0.6601, 0.466613
 838,   0.6608, 0.464882
 839,   0.6608, 0.465979
 840,   0.6608, 0.463613
 841,   0.6608, 0.466879
 842,   0.6608, 0.472974
 843,   0.6608, 0.484295
 844,   0.6608, 0.485181
 845,   0.6608, 0.483786
 846,   0.6608, 0.482734
 847,   0.6608, 0.483125
 848,   0.6608, 0.484796
 849,   0.6608, 0.479807
 850,   0.6608, 0.484477
 851,   0.6608, 0.477571
 852,   0.6639, 0.476115
 853,   0.6639, 0.471653
 854,   0.6639, 0.464462
 855,   0.6639, 0.467096
 856,   0.6639, 0.463389
 857,   0.6639, 0.457975
 858,   0.6639, 0.467784
 859,   0.6639, 0.468801
 860,   0.6639, 0.467987
 861,   0.6639, 0.463289
 862,   0.6639, 0.472917
 863,   0.6639, 0.467636
 864,   0.6639, 0.470154
 865,   0.6639, 0.474697
 866,   0.6639, 0.468508
 867,   0.6639, 0.468697
 868,   0.6639, 0.464043
 869,   0.6639, 0.467909
 870,   0.6639, 0.467609
 871,   0.6639, 0.472228
 872,   0.6639, 0.479021
 873,   0.6639, 0.483599
 874,   0.6573, 0.481997
 875,   0.6573,  0.48425
 876,   0.6573, 0.479688
 877,   0.6573, 0.474229
 878,   0.6573, 0.475138
 879,   0.6573, 0.477787
 880,   0.6573,  0.47536
 881,   0.6573, 0.474545
 882,   0.6573, 0.472236
 883,   0.6573, 0.470719
 884,   0.6573, 0.472624
 885,   0.6573, 0.469148
 886,   0.6573, 0.472279
 887,   0.6573, 0.476005
 888,   0.6573, 0.475354
 889,   0.6573, 0.477399
 890,   0.6573, 0.471803
 891,   0.6573, 0.471123
 892,   0.6573, 0.469866
 893,   0.6573, 0.470484
 894,   0.6573, 0.469813
 895,   0.6573, 0.469566
 896,   0.6573, 0.474925
 897,   0.6573,  0.47842
 898,   0.6573, 0.479576
 899,   0.6573, 0.470345
 900,   0.6573, 0.480323
 901,   0.6573, 0.472728
 902,   0.6573,   0.4713
 903,   0.6573, 0.473167
 904,   0.6573, 0.472938
 905,   0.6684, 0.463364
 906,   0.6684, 0.468958
 907,   0.6684, 0.465271
 908,   0.6684, 0.474934
 909,   0.6684,  0.47117
 910,   0.6684, 0.474312
 911,   0.6684, 0.472424
 912,   0.6684, 0.469901
 913,   0.6684,  0.46913
 914,   0.6684, 0.466011
 915,   0.6684, 0.476656
 916,   0.6684, 0.476856
 917,   0.6684, 0.477408
 918,   0.6684, 0.480132
 919,   0.6684, 0.477659
 920,   0.6684, 0.480465
 921,   0.6684, 0.471318
 922,   0.6684, 0.475773
 923,   0.6684, 0.468774
 924,   0.6582, 0.476516
 925,   0.6582, 0.475525
 926,   0.6582, 0.470001
 927,   0.6582, 0.478737
 928,   0.6582, 0.469925
 929,   0.6582, 0.468448
 930,   0.6582, 0.475926
 931,   0.6582, 0.486343
 932,   0.6582, 0.493697
 933,   0.6582, 0.493138
 934,   0.6582, 0.488439
 935,   0.6582, 0.487036
 936,   0.6582, 0.484434
 937,   0.6582, 0.476422
 938,   0.6582,  0.48171
 939,   0.6582, 0.476266
