gen, roulette_scalar_twopoint_best, roulette_scalar_twopoint_ave
 865,   0.7279, 0.490938
 866,   0.7279, 0.494974
 867,   0.7279, 0.500225
 868,   0.7279, 0.499374
 869,   0.7279, 0.502469
 870,   0.7279, 0.497906
 871,   0.7279, 0.498928
 872,   0.7279, 0.491526
 873,   0.7279, 0.495634
 874,   0.7279, 0.497006
 875,   0.7279, 0.494849
 876,   0.7279, 0.500213
 877,   0.7279,  0.48988
 878,   0.7279,  0.50035
 879,   0.7279, 0.506733
 880,   0.7279, 0.509541
 881,   0.7279, 0.511213
 882,   0.7279, 0.509042
 883,   0.7279, 0.508758
 884,   0.7279, 0.504151
 885,   0.7279, 0.499209
 886,   0.7279, 0.499947
 887,   0.7279, 0.503029
 888,   0.7279, 0.496926
 889,   0.7279, 0.502038
 890,   0.7279, 0.504133
 891,   0.7279, 0.503129
 892,   0.7279, 0.502235
 893,   0.7279,  0.50916
 894,   0.7279, 0.507957
 895,   0.7279,  0.51628
 896,   0.7279, 0.507121
 897,   0.7279, 0.499314
 898,   0.7279, 0.493376
 899,   0.7279, 0.492738
 900,   0.7279, 0.496341
 901,   0.7279,  0.49657
 902,   0.7279, 0.511661
 903,   0.7279, 0.507695
 904,   0.7279, 0.511563
 905,   0.7279, 0.514413
 906,   0.7279, 0.505433
 907,   0.7279, 0.502589
 908,   0.7279,  0.50182
 909,   0.7279, 0.500462
 910,   0.7279, 0.504503
 911,   0.7279, 0.500506
 912,   0.7279, 0.504914
 913,   0.7279, 0.498455
 914,   0.7279, 0.498773
 915,   0.7279, 0.501532
 916,   0.7279, 0.498647
 917,   0.7279, 0.502851
 918,   0.7279, 0.498393
 919,   0.7279,  0.50059
 920,   0.7279, 0.488511
 921,   0.7279, 0.489276
 922,   0.7279, 0.487362
 923,   0.7279, 0.486157
 924,   0.7279, 0.482525
 925,   0.7279, 0.487511
 926,   0.7279, 0.496458
 927,   0.7279, 0.494843
 928,   0.7279, 0.501334
