gen, tournament_binary_twopoint_best, tournament_binary_twopoint_ave
 283,   0.7485, 0.677314
 284,   0.7485, 0.677732
 285,   0.7485,   0.6763
 286,   0.7485, 0.679615
 287,   0.7486, 0.679005
 288,   0.7486, 0.677205
 289,   0.7486, 0.676685
 290,   0.7487, 0.676741
 291,   0.7487, 0.681851
 292,   0.7487,   0.6796
 293,   0.7487, 0.676732
 294,   0.7487, 0.677998
 295,   0.7495, 0.673735
 296,   0.7495, 0.675667
 297,   0.7495, 0.674248
 298,   0.7495, 0.675878
 299,   0.7495, 0.676843
 300,   0.7495, 0.676622
 301,   0.7495,  0.67477
 302,   0.7496, 0.681162
 303,   0.7496, 0.677528
 304,   0.7496, 0.677824
 305,   0.7513, 0.678198
 306,   0.7513, 0.674425
 307,   0.7513, 0.679243
 308,   0.7513, 0.675957
 309,   0.7513, 0.683598
 310,   0.7515, 0.676292
 311,   0.7515,  0.68106
 312,   0.7516, 0.678183
 313,   0.7516, 0.678689
 314,   0.7516, 0.678689
 315,   0.7516, 0.683752
 316,   0.7531, 0.682197
 317,   0.7531, 0.682173
 318,   0.7531, 0.680529
 319,   0.7531, 0.685274
 320,   0.7531, 0.685848
 321,   0.7531, 0.681812
 322,   0.7531, 0.682618
 323,   0.7531, 0.679652
 324,   0.7531, 0.685637
 325,   0.7531, 0.682924
 326,   0.7531, 0.680197
 327,   0.7531, 0.680766
 328,   0.7531, 0.682791
 329,   0.7531, 0.681922
 330,   0.7531, 0.677273
 331,   0.7531, 0.679556
 332,   0.7531, 0.676956
 333,   0.7531, 0.678919
 334,   0.7531, 0.677254
 335,   0.7531, 0.681812
 336,   0.7531, 0.684614
 337,   0.7537, 0.683705
 338,   0.7537, 0.677705
 339,   0.7537,  0.68245
 340,   0.7537, 0.683346
 341,   0.7537, 0.683605
 342,   0.7543,  0.68285
 343,   0.7543, 0.683916
 344,   0.7543, 0.679383
 345,   0.7543, 0.683185
 346,   0.7543, 0.685334
 347,   0.7543, 0.682091
 348,   0.7544, 0.680164
 349,   0.7544,   0.6846
 350,   0.7544, 0.685961
 351,   0.7544,  0.68759
 352,   0.7544, 0.686624
 353,   0.7545, 0.682446
 354,   0.7556,  0.68305
 355,   0.7556, 0.682595
 356,   0.7556, 0.686665
 357,   0.7556, 0.681776
 358,   0.7556, 0.685326
 359,   0.7556, 0.686283
 360,   0.7556, 0.685134
 361,    0.756, 0.686574
 362,   0.7572, 0.690334
 363,   0.7572, 0.686293
 364,   0.7572, 0.686525
 365,   0.7572, 0.687778
 366,   0.7572, 0.687889
 367,   0.7572, 0.688161
 368,   0.7572, 0.685076
 369,   0.7572, 0.686791
 370,   0.7586, 0.686686
 371,   0.7586, 0.689544
 372,   0.7591, 0.688887
 373,   0.7591, 0.691677
 374,   0.7591, 0.692244
 375,     0.76, 0.683405
 376,     0.76, 0.684619
 377,     0.76, 0.685389
 378,     0.76,  0.68609
 379,     0.76, 0.687623
 380,     0.76, 0.685745
 381,     0.76,    0.691
 382,     0.76, 0.690975
 383,   0.7601, 0.690623
 384,   0.7602, 0.690418
 385,   0.7607, 0.689174
 386,    0.761,  0.68981
 387,    0.761, 0.687299
 388,    0.761, 0.687171
 389,    0.761, 0.691267
 390,    0.761, 0.689469
 391,    0.761, 0.689629
 392,    0.761, 0.688483
 393,    0.761, 0.690776
 394,    0.761, 0.691119
 395,    0.761, 0.685526
 396,    0.761, 0.686121
 397,   0.7625, 0.694574
 398,   0.7625, 0.695128
 399,   0.7625, 0.687998
 400,   0.7625, 0.690233
 401,   0.7625, 0.693451
 402,   0.7625, 0.687702
 403,   0.7625, 0.689834
 404,   0.7625, 0.692248
 405,   0.7625,  0.69253
 406,   0.7625, 0.687975
 407,   0.7625, 0.695764
 408,   0.7625, 0.691339
 409,   0.7625, 0.691334
 410,   0.7625, 0.688513
 411,   0.7625, 0.688178
 412,   0.7625, 0.689418
 413,   0.7625, 0.691739
 414,   0.7625, 0.691953
 415,   0.7625, 0.692534
 416,   0.7625, 0.693014
 417,   0.7625, 0.688134
 418,    0.763, 0.692924
 419,    0.763, 0.693956
 420,   0.7639, 0.692096
 421,   0.7639, 0.694173
 422,   0.7639, 0.695709
 423,   0.7639, 0.693685
 424,   0.7639, 0.690212
 425,   0.7639, 0.695918
 426,   0.7639,  0.69522
 427,   0.7639, 0.697417
 428,   0.7639, 0.697156
 429,   0.7647, 0.700629
 430,   0.7647, 0.693204
 431,   0.7647, 0.690261
 432,   0.7664, 0.689674
 433,   0.7664,  0.69518
 434,   0.7664,  0.69541
 435,   0.7664, 0.689959
 436,   0.7664, 0.695653
 437,   0.7664, 0.694308
 438,   0.7668, 0.695257
 439,   0.7668, 0.696616
 440,   0.7668,  0.69765
 441,   0.7668,  0.69795
 442,   0.7668,  0.69398
 443,   0.7668, 0.696832
 444,   0.7668, 0.692128
 445,   0.7668, 0.701345
 446,   0.7668, 0.700487
 447,   0.7668, 0.695927
 448,   0.7668, 0.695848
 449,   0.7668, 0.698076
 450,   0.7668, 0.696704
 451,   0.7668, 0.700798
 452,   0.7668, 0.694125
 453,   0.7673, 0.694831
 454,   0.7681, 0.700326
 455,   0.7687, 0.701366
 456,   0.7687, 0.702075
 457,   0.7691,  0.69619
 458,   0.7711, 0.702423
 459,   0.7711, 0.701185
 460,   0.7711, 0.698244
 461,   0.7711, 0.701853
 462,   0.7711, 0.704369
 463,   0.7711, 0.703159
 464,   0.7721, 0.703885
 465,   0.7721, 0.702065
 466,   0.7721,  0.70329
 467,   0.7721, 0.699971
 468,   0.7721, 0.699709
 469,   0.7721, 0.702255
 470,   0.7721, 0.703121
 471,   0.7721, 0.707153
 472,   0.7721, 0.701711
 473,   0.7724, 0.706606
 474,   0.7724,   0.7002
 475,   0.7724, 0.702089
 476,   0.7724, 0.706047
 477,   0.7724, 0.704008
 478,   0.7724, 0.704421
 479,   0.7724, 0.702819
 480,   0.7724,  0.70682
 481,   0.7725, 0.705606
 482,   0.7725, 0.703082
 483,   0.7728, 0.706035
 484,   0.7728, 0.708851
 485,   0.7728, 0.706891
 486,   0.7728, 0.703763
 487,   0.7728,  0.70619
 488,   0.7728,  0.70576
 489,   0.7733, 0.708982
 490,   0.7733, 0.711042
 491,   0.7733, 0.706947
 492,   0.7733, 0.708696
 493,   0.7733, 0.712134
 494,   0.7733, 0.710061
 495,   0.7733, 0.710189
 496,   0.7733, 0.704016
 497,   0.7733, 0.708185
 498,   0.7733, 0.704026
 499,   0.7733,  0.70447
 500,   0.7733,  0.70852
 501,   0.7733, 0.704595
 502,   0.7733, 0.702498
 503,   0.7733, 0.705509
 504,   0.7733, 0.704439
 505,   0.7733, 0.710783
 506,   0.7733, 0.709714
 507,   0.7733, 0.706089
 508,   0.7733,  0.70711
 509,   0.7747, 0.708108
 510,   0.7747, 0.707469
 511,   0.7747, 0.704904
 512,   0.7747, 0.707742
 513,   0.7747,   0.7101
 514,   0.7747, 0.705748
 515,   0.7747, 0.708791
 516,   0.7747, 0.711291
 517,   0.7747,  0.70712
 518,   0.7747, 0.706866
 519,   0.7747, 0.708703
 520,   0.7747, 0.713367
 521,   0.7747, 0.710326
 522,   0.7747, 0.705888
 523,   0.7747, 0.713842
 524,   0.7747, 0.707601
 525,   0.7747, 0.709236
 526,   0.7747, 0.712828
 527,   0.7748, 0.707279
 528,   0.7757, 0.709331
 529,   0.7757, 0.708837
 530,   0.7757, 0.709899
 531,   0.7757, 0.711038
 532,   0.7757, 0.710869
 533,   0.7761, 0.716016
 534,   0.7761, 0.712306
 535,   0.7761, 0.712555
 536,   0.7761, 0.708362
 537,   0.7761, 0.709589
 538,   0.7761, 0.709458
 539,   0.7764, 0.710145
 540,   0.7764, 0.709657
 541,   0.7764, 0.711218
 542,   0.7764, 0.707977
 543,   0.7764,  0.71003
 544,   0.7764, 0.705135
 545,   0.7764, 0.709549
 546,   0.7764, 0.708842
 547,   0.7764, 0.709401
 548,   0.7764, 0.709248
 549,   0.7764, 0.712791
 550,   0.7764, 0.709719
 551,   0.7764,  0.71217
 552,   0.7764, 0.710987
 553,   0.7777, 0.711584
 554,   0.7777, 0.707396
 555,   0.7777, 0.709886
 556,   0.7777, 0.710446
 557,   0.7777, 0.711379
 558,   0.7777, 0.712777
 559,   0.7777, 0.713607
 560,   0.7777,  0.71072
 561,    0.778, 0.710226
 562,    0.778, 0.708686
 563,    0.778, 0.712343
 564,    0.778, 0.710866
 565,    0.778, 0.710868
 566,    0.778, 0.712631
 567,    0.778,  0.71551
 568,    0.778, 0.714472
 569,    0.778, 0.715664
 570,    0.778, 0.716294
 571,    0.778, 0.716889
 572,    0.778, 0.710862
 573,    0.778,  0.71359
 574,    0.778, 0.715462
 575,    0.778, 0.712087
 576,    0.778, 0.712301
 577,    0.778,  0.71208
 578,    0.778, 0.715155
 579,    0.778, 0.713018
 580,    0.778,  0.71253
 581,    0.778,  0.71749
 582,    0.778, 0.715486
 583,    0.778, 0.711176
 584,    0.778, 0.710654
 585,    0.778, 0.712159
 586,    0.778, 0.710491
 587,    0.778,  0.71376
 588,    0.778, 0.714776
 589,    0.778, 0.717152
 590,    0.778, 0.711455
 591,    0.778, 0.714431
 592,    0.778, 0.716132
 593,    0.778, 0.717771
 594,    0.778, 0.715252
 595,    0.778, 0.716465
 596,    0.778, 0.713972
 597,   0.7786, 0.714527
 598,   0.7786, 0.712784
 599,   0.7786, 0.715187
 600,   0.7794, 0.718048
 601,   0.7794, 0.714701
 602,   0.7794, 0.717147
 603,   0.7794, 0.715416
 604,   0.7794, 0.715611
 605,   0.7794, 0.717094
 606,   0.7794, 0.715484
 607,   0.7794, 0.715133
 608,   0.7794, 0.709898
 609,   0.7794, 0.716056
 610,   0.7798, 0.716093
 611,   0.7798, 0.715094
 612,   0.7808, 0.715074
 613,   0.7808,  0.71766
 614,   0.7808, 0.713653
 615,   0.7808, 0.712484
 616,   0.7808,  0.71412
 617,   0.7808, 0.717663
 618,   0.7808, 0.715113
 619,   0.7808, 0.715999
 620,   0.7808, 0.713961
 621,   0.7808, 0.711493
 622,   0.7808, 0.714531
 623,   0.7808, 0.715629
 624,   0.7808, 0.711532
 625,   0.7808, 0.720037
 626,   0.7808, 0.716851
 627,   0.7808, 0.719377
 628,   0.7808,    0.719
 629,   0.7808, 0.717536
 630,   0.7808,  0.71634
 631,   0.7808, 0.715057
 632,   0.7808, 0.714948
 633,   0.7808, 0.714996
 634,   0.7808, 0.714867
 635,   0.7815, 0.716047
 636,   0.7815, 0.714207
 637,   0.7815, 0.713126
 638,   0.7815, 0.715003
 639,   0.7815, 0.714669
 640,   0.7815, 0.715813
 641,   0.7815, 0.712027
 642,   0.7815, 0.718434
 643,   0.7815, 0.723056
 644,   0.7815, 0.715936
 645,   0.7815,  0.71258
 646,   0.7815, 0.716762
 647,   0.7815, 0.715009
 648,   0.7815,  0.71891
 649,   0.7815, 0.716275
 650,   0.7815, 0.716707
 651,   0.7815, 0.717029
 652,   0.7815, 0.713664
 653,   0.7815, 0.714392
 654,   0.7816, 0.712978
 655,   0.7816, 0.716119
 656,   0.7816, 0.715053
 657,   0.7816, 0.713601
 658,   0.7816, 0.717458
 659,   0.7816, 0.715192
 660,   0.7816, 0.717757
 661,   0.7822, 0.718446
 662,   0.7822, 0.718535
 663,   0.7822, 0.716665
 664,   0.7822, 0.715976
 665,   0.7822, 0.718255
 666,   0.7822, 0.715114
 667,   0.7822, 0.717173
 668,   0.7822,  0.71545
 669,   0.7822, 0.717813
 670,   0.7822, 0.715225
 671,   0.7822, 0.716703
 672,   0.7822, 0.722254
 673,   0.7822, 0.717192
 674,   0.7822, 0.719174
 675,   0.7822, 0.718372
 676,   0.7822, 0.715401
 677,   0.7822, 0.715854
 678,   0.7822,  0.71686
 679,   0.7822, 0.717416
 680,   0.7826, 0.718058
 681,   0.7826, 0.717294
 682,   0.7826,   0.7207
 683,   0.7826, 0.722175
 684,   0.7826, 0.721149
 685,   0.7826, 0.718547
 686,   0.7826, 0.717724
 687,   0.7826, 0.716144
 688,   0.7826, 0.717745
 689,   0.7826, 0.716335
 690,   0.7826, 0.715044
 691,   0.7826, 0.715544
 692,   0.7826, 0.717578
 693,   0.7827, 0.714661
 694,   0.7827, 0.716847
 695,   0.7827, 0.718867
 696,   0.7827, 0.718041
 697,   0.7827, 0.718134
 698,   0.7827, 0.718898
