gen, tournament_scalar_uniform_best, tournament_scalar_uniform_ave
 271,     0.75, 0.680644
 272,     0.75,  0.67797
 273,     0.75, 0.669643
 274,     0.75,  0.67741
 275,     0.75, 0.674851
 276,   0.7561, 0.675198
 277,   0.7561, 0.679125
 278,   0.7561, 0.680506
 279,   0.7561, 0.682761
 280,   0.7536, 0.678113
 281,   0.7536, 0.682463
 282,   0.7573, 0.677425
 283,   0.7573, 0.674851
 284,   0.7573,  0.68235
 285,   0.7573,  0.67967
 286,   0.7554, 0.681189
 287,   0.7554, 0.685598
 288,   0.7554, 0.685084
 289,   0.7554, 0.686198
 290,   0.7554, 0.686012
 291,   0.7557, 0.688596
 292,   0.7557, 0.685043
 293,   0.7557, 0.682849
 294,   0.7566, 0.683079
 295,   0.7566, 0.687817
 296,   0.7566, 0.683199
 297,   0.7566, 0.687945
 298,   0.7566, 0.681291
 299,   0.7566, 0.681838
 300,   0.7574,  0.68508
 301,   0.7574, 0.681437
 302,   0.7574, 0.679281
 303,   0.7574,  0.68393
 304,   0.7574, 0.680281
 305,   0.7574, 0.681754
 306,   0.7574, 0.680967
 307,   0.7551, 0.683153
 308,   0.7551, 0.687071
 309,   0.7542, 0.683888
 310,   0.7542, 0.679771
 311,   0.7568, 0.679433
 312,   0.7568, 0.682034
 313,   0.7568, 0.682383
 314,   0.7568, 0.687943
 315,   0.7568, 0.681481
 316,    0.757, 0.671423
 317,    0.757, 0.685509
 318,    0.757, 0.689015
 319,   0.7623, 0.686028
 320,   0.7623, 0.682617
 321,   0.7623, 0.689505
 322,   0.7623, 0.685873
 323,   0.7623,  0.69118
 324,   0.7608, 0.691135
 325,   0.7608, 0.695652
 326,   0.7642, 0.687578
 327,   0.7642, 0.692148
 328,   0.7653, 0.685669
 329,   0.7653, 0.686471
 330,   0.7752, 0.701128
 331,   0.7708, 0.700239
 332,   0.7719, 0.698375
 333,   0.7719, 0.694146
 334,   0.7719, 0.701068
 335,   0.7719, 0.702404
 336,   0.7722, 0.700133
 337,   0.7828, 0.697939
 338,   0.7828, 0.699169
 339,   0.7828, 0.701793
 340,   0.7828, 0.703921
 341,   0.7788, 0.706078
 342,   0.7788, 0.703836
 343,   0.7863, 0.704217
 344,   0.7863, 0.694529
 345,   0.7863, 0.698964
 346,   0.7836, 0.698317
 347,   0.7836, 0.706461
 348,   0.7865, 0.707564
 349,   0.7853, 0.708076
 350,   0.7853,  0.70688
 351,   0.7853, 0.702979
 352,   0.7853, 0.705462
 353,   0.7908,   0.7079
 354,   0.7908, 0.705796
 355,   0.7877, 0.705405
 356,   0.7877, 0.711505
 357,   0.7877, 0.713323
 358,   0.7909, 0.715657
 359,   0.7909, 0.713084
 360,   0.7909, 0.715991
 361,   0.7909, 0.718903
 362,   0.7909, 0.717592
 363,   0.7909, 0.720563
 364,   0.7909, 0.719961
 365,   0.7909,  0.71695
 366,   0.7909, 0.712751
 367,   0.7909, 0.718797
 368,   0.7909,  0.71508
 369,   0.7909, 0.716462
 370,   0.7909, 0.719316
 371,   0.7909, 0.714567
 372,   0.7909, 0.717099
 373,   0.7909, 0.716013
 374,   0.7909, 0.710607
 375,   0.7909,  0.71751
 376,   0.7913, 0.717477
 377,   0.7931, 0.716532
 378,   0.7899,  0.71397
 379,   0.7932, 0.716164
 380,   0.7932,  0.71361
 381,   0.7932, 0.707751
 382,   0.7932, 0.718875
 383,   0.7932,  0.71399
 384,   0.7938, 0.718596
 385,   0.7938, 0.719837
 386,   0.7938, 0.713914
 387,   0.7938, 0.716114
 388,   0.7938, 0.718311
 389,   0.7938, 0.720905
 390,   0.7923, 0.715502
 391,   0.7923, 0.718719
 392,   0.7923, 0.717987
 393,   0.7923, 0.714711
 394,   0.7923,  0.72074
 395,   0.7923,  0.72074
 396,   0.7923, 0.718575
 397,   0.7893, 0.709665
 398,   0.7893, 0.719884
 399,   0.8048, 0.705854
 400,   0.8048, 0.700231
 401,   0.8033, 0.713375
 402,   0.8033, 0.723985
 403,   0.8033,  0.72348
 404,   0.8033, 0.721605
 405,   0.8033, 0.716533
 406,   0.8033, 0.720879
 407,   0.8033, 0.718812
 408,   0.8033, 0.719042
 409,   0.8033,  0.72511
 410,   0.8033, 0.729396
 411,   0.8033, 0.726659
 412,   0.8033, 0.727361
 413,   0.8033, 0.720766
 414,   0.8033, 0.733233
 415,   0.8033, 0.723056
 416,   0.8033, 0.723683
 417,   0.8016, 0.722782
 418,   0.8016, 0.726736
 419,   0.8016, 0.726348
 420,   0.8016, 0.727804
 421,   0.8023, 0.721039
 422,   0.8023, 0.714325
 423,   0.8023, 0.723496
 424,   0.8023, 0.724729
 425,   0.8023, 0.723585
 426,   0.8023, 0.729506
 427,   0.8032, 0.725369
 428,   0.8032, 0.726873
 429,   0.8032,  0.72096
 430,   0.8032, 0.725854
 431,   0.8032, 0.732344
 432,   0.8032, 0.729198
 433,   0.8032, 0.720613
 434,   0.8026, 0.721197
 435,   0.8026, 0.727923
 436,   0.8026, 0.723768
 437,   0.8026, 0.723148
 438,   0.8041, 0.724154
 439,   0.8041,  0.72566
 440,   0.8041, 0.722616
 441,   0.8041, 0.717285
 442,   0.8041, 0.729985
 443,   0.8041, 0.728769
 444,   0.8041, 0.726077
 445,   0.8041, 0.722582
 446,   0.8041, 0.720498
 447,   0.8041,  0.72612
 448,   0.8041,  0.72351
 449,   0.8041, 0.722382
 450,   0.8041, 0.727907
 451,   0.8041,  0.72524
 452,   0.8041, 0.728812
 453,   0.8083,  0.71809
 454,   0.8083, 0.721308
 455,   0.8083,  0.72275
 456,   0.8083, 0.718418
 457,   0.8083, 0.728721
 458,   0.8083, 0.720788
 459,   0.8083, 0.719724
 460,   0.8083, 0.717417
 461,   0.8083, 0.725101
 462,   0.8083, 0.722652
 463,   0.8083, 0.726652
 464,   0.8083, 0.724333
 465,   0.8083, 0.721017
 466,   0.8083, 0.722742
 467,   0.8083,  0.73193
 468,   0.8083, 0.722791
 469,   0.8079, 0.720706
 470,   0.8079, 0.725805
 471,   0.8079, 0.725245
 472,   0.8054, 0.719801
 473,   0.8054, 0.725152
 474,   0.8054, 0.728637
 475,   0.8054, 0.728048
 476,   0.8094, 0.729743
 477,   0.8094, 0.734955
 478,   0.8094, 0.730107
 479,   0.8113, 0.724505
 480,   0.8113,  0.73351
 481,   0.8115, 0.726115
 482,   0.8115, 0.727491
 483,   0.8115, 0.727168
 484,   0.8115, 0.722264
 485,   0.8115, 0.725388
 486,   0.8115, 0.720643
 487,   0.8115,  0.72419
 488,   0.8115, 0.727469
 489,   0.8115,  0.72858
 490,   0.8116, 0.721091
 491,   0.8116, 0.725755
 492,   0.8116, 0.731991
 493,   0.8116, 0.730505
 494,   0.8116, 0.725681
 495,   0.8116, 0.721967
 496,   0.8116,  0.72708
 497,   0.8116, 0.729189
 498,   0.8116, 0.730632
 499,   0.8116, 0.733177
 500,   0.8116, 0.723171
 501,   0.8116, 0.728709
 502,   0.8116,  0.72765
 503,   0.8116, 0.728205
 504,   0.8116, 0.726307
 505,   0.8116, 0.727288
 506,   0.8116, 0.729819
 507,   0.8116, 0.733056
 508,   0.8116, 0.721874
 509,   0.8116, 0.732737
 510,   0.8118, 0.728575
 511,   0.8134, 0.728884
 512,   0.8113, 0.729545
 513,    0.813, 0.730776
 514,    0.813, 0.722953
 515,    0.813, 0.727029
 516,    0.813, 0.731957
 517,   0.8083, 0.734244
 518,   0.8083, 0.727997
 519,   0.8083, 0.727533
 520,   0.8114, 0.727372
 521,   0.8114,  0.72196
 522,   0.8114, 0.722911
 523,   0.8114, 0.719819
 524,   0.8114, 0.723515
 525,   0.8114, 0.724446
 526,   0.8114, 0.717214
 527,   0.8131,  0.72896
 528,   0.8131, 0.728519
 529,   0.8131, 0.733468
 530,   0.8131, 0.731033
 531,   0.8131, 0.729322
 532,   0.8131, 0.733776
 533,   0.8131, 0.736159
 534,   0.8136, 0.734424
 535,   0.8136, 0.734384
 536,   0.8136, 0.725263
 537,   0.8136, 0.726961
 538,   0.8136,  0.73275
 539,   0.8136, 0.733783
 540,   0.8136, 0.730476
 541,   0.8136, 0.733779
 542,   0.8136, 0.740719
 543,   0.8166, 0.727937
 544,   0.8166, 0.732202
 545,   0.8166, 0.734294
 546,   0.8195, 0.729312
 547,   0.8195, 0.735143
 548,   0.8195, 0.734121
 549,   0.8195, 0.729495
 550,   0.8195, 0.735079
 551,   0.8195, 0.734706
 552,   0.8195, 0.731472
 553,   0.8137, 0.733841
 554,   0.8137, 0.736688
 555,   0.8137, 0.734575
 556,   0.8137, 0.730075
 557,   0.8137, 0.734941
 558,   0.8137, 0.725644
 559,   0.8152, 0.730487
 560,   0.8152, 0.727019
 561,   0.8152, 0.731528
 562,   0.8152, 0.735717
 563,   0.8152,  0.72653
 564,   0.8152, 0.727923
 565,   0.8152, 0.730213
 566,   0.8152, 0.736606
 567,   0.8152, 0.734391
 568,   0.8152, 0.728738
 569,   0.8152, 0.737144
 570,   0.8152, 0.733396
 571,   0.8152, 0.734019
 572,   0.8152, 0.724081
 573,   0.8152, 0.727432
 574,   0.8152, 0.735464
 575,   0.8152, 0.739707
 576,   0.8152, 0.732545
 577,   0.8152, 0.734095
 578,   0.8152,  0.72731
 579,   0.8152, 0.728745
 580,   0.8152, 0.731912
 581,    0.814, 0.728622
 582,    0.814, 0.729122
 583,    0.814, 0.727879
 584,    0.814, 0.730751
 585,    0.814, 0.727997
 586,    0.814, 0.732457
 587,    0.814, 0.735545
 588,    0.814, 0.730166
 589,    0.814, 0.729721
 590,    0.814, 0.723609
 591,    0.814, 0.733861
 592,    0.814, 0.728915
 593,   0.8184,   0.7298
 594,   0.8184, 0.725934
 595,   0.8184, 0.720836
 596,   0.8184, 0.727488
 597,   0.8184, 0.730992
 598,   0.8179, 0.730324
 599,   0.8179, 0.730628
 600,   0.8179, 0.721524
 601,   0.8179, 0.724168
 602,   0.8179,  0.73159
 603,   0.8179,  0.72742
 604,   0.8179, 0.726068
 605,   0.8179, 0.730226
 606,   0.8179, 0.739146
 607,   0.8179, 0.727383
 608,   0.8179, 0.728522
 609,   0.8153, 0.724711
 610,   0.8153, 0.730285
 611,   0.8153, 0.733715
 612,   0.8153, 0.725877
 613,   0.8153, 0.728902
 614,   0.8153, 0.729038
 615,   0.8141, 0.728018
 616,   0.8141, 0.729273
 617,   0.8141, 0.730943
 618,   0.8141, 0.724894
 619,   0.8141, 0.726218
 620,   0.8141,  0.72726
 621,   0.8141, 0.727085
 622,   0.8141, 0.719348
 623,   0.8141, 0.725827
 624,   0.8141, 0.728046
 625,   0.8141, 0.726812
 626,   0.8141, 0.730515
 627,   0.8141, 0.732018
 628,   0.8209, 0.732112
 629,   0.8209, 0.729627
 630,   0.8209, 0.739847
 631,   0.8136, 0.739134
 632,   0.8136, 0.741367
 633,   0.8136, 0.737526
 634,   0.8136, 0.723862
 635,   0.8136, 0.722791
 636,    0.818, 0.730856
 637,    0.818,  0.73054
 638,    0.818, 0.729933
 639,    0.818, 0.735356
 640,    0.818, 0.727093
 641,    0.818,  0.73281
 642,    0.818, 0.724241
 643,    0.818, 0.726453
 644,    0.818, 0.725662
 645,    0.818,  0.72518
 646,    0.818, 0.732705
 647,    0.818, 0.736927
 648,    0.818, 0.732192
 649,    0.818, 0.727738
 650,    0.818,  0.73385
 651,    0.818,  0.72655
 652,    0.818, 0.730391
 653,    0.818,  0.73064
 654,    0.818, 0.729994
 655,    0.818, 0.728554
 656,    0.818, 0.738157
 657,    0.818, 0.725058
 658,    0.818, 0.729748
 659,    0.818, 0.729365
 660,    0.818, 0.724756
 661,    0.818, 0.730856
 662,    0.818, 0.720372
 663,    0.818, 0.728415
 664,    0.818,   0.7312
 665,    0.818, 0.723804
 666,    0.818, 0.723729
 667,    0.818, 0.734603
 668,    0.818, 0.735774
 669,   0.8168, 0.728675
 670,   0.8168, 0.726053
 671,   0.8168,  0.72666
 672,   0.8168, 0.723478
 673,   0.8168, 0.728961
 674,   0.8168, 0.735312
 675,   0.8168, 0.728006
 676,   0.8168, 0.738345
 677,   0.8168, 0.734066
 678,   0.8168, 0.730048
 679,   0.8168,  0.72775
 680,   0.8168, 0.720796
 681,   0.8165, 0.731431
 682,   0.8165, 0.730163
 683,   0.8136, 0.730268
 684,   0.8136, 0.729923
 685,   0.8136,  0.72824
 686,   0.8136, 0.731689
 687,   0.8136,  0.72963
 688,   0.8166, 0.732201
 689,   0.8133,  0.73312
 690,   0.8133, 0.725173
 691,   0.8133,  0.72336
 692,   0.8133, 0.729513
 693,   0.8133, 0.730106
 694,   0.8133, 0.729192
 695,   0.8133, 0.732638
 696,   0.8133, 0.734726
 697,   0.8164, 0.732231
 698,   0.8164, 0.723027
 699,   0.8164, 0.729032
 700,   0.8164, 0.729405
 701,   0.8164, 0.733684
 702,   0.8164, 0.730046
 703,   0.8164, 0.724271
 704,   0.8164, 0.729176
 705,   0.8164, 0.733411
 706,   0.8164, 0.738295
 707,   0.8164, 0.730865
 708,   0.8164, 0.728156
 709,   0.8164, 0.732404
 710,   0.8164, 0.735264
 711,   0.8164, 0.725652
 712,   0.8164, 0.718971
 713,   0.8164, 0.737189
 714,   0.8164, 0.727288
 715,   0.8164, 0.731009
 716,   0.8164, 0.731192
 717,   0.8164, 0.739301
 718,   0.8164, 0.732445
 719,   0.8164,  0.73149
 720,   0.8164, 0.735084
 721,   0.8164, 0.731427
 722,   0.8164, 0.732271
 723,   0.8164, 0.736181
 724,   0.8164, 0.737337
 725,   0.8164, 0.729073
 726,   0.8164, 0.730713
 727,   0.8164, 0.726685
 728,   0.8164, 0.727585
 729,   0.8164, 0.728559
 730,   0.8164, 0.736184
 731,   0.8164, 0.734184
 732,   0.8164, 0.738368
 733,   0.8164, 0.733126
 734,   0.8164, 0.730942
 735,   0.8164, 0.735421
 736,   0.8164, 0.729337
 737,   0.8164, 0.730553
 738,   0.8164,  0.73068
 739,   0.8164, 0.730793
 740,   0.8164, 0.731196
 741,   0.8164, 0.729469
 742,   0.8164, 0.729453
 743,   0.8164, 0.733379
 744,   0.8164, 0.737702
 745,   0.8164, 0.734874
 746,   0.8164, 0.736277
 747,   0.8164, 0.732619
 748,   0.8164,  0.73002
 749,   0.8164, 0.724849
 750,   0.8164, 0.735775
 751,   0.8164, 0.740519
 752,   0.8164, 0.730733
 753,   0.8164,  0.73782
 754,   0.8164, 0.728286
 755,   0.8164, 0.730386
 756,   0.8164, 0.728047
 757,   0.8164,  0.73498
 758,   0.8164, 0.731084
 759,   0.8164, 0.724025
 760,   0.8164, 0.728119
 761,   0.8164, 0.732608
 762,   0.8164, 0.731803
 763,   0.8164, 0.730937
 764,   0.8173, 0.736236
 765,   0.8173, 0.734466
 766,   0.8173, 0.737073
 767,   0.8173, 0.733331
 768,   0.8173, 0.728866
 769,   0.8173, 0.734143
 770,   0.8173, 0.735691
 771,   0.8173, 0.728607
 772,   0.8173, 0.736667
 773,   0.8173, 0.730989
 774,   0.8173, 0.730231
 775,   0.8173,  0.73604
 776,   0.8173, 0.734917
 777,   0.8173, 0.733874
 778,   0.8173, 0.732172
 779,   0.8173, 0.725129
 780,   0.8173, 0.730778
 781,   0.8173, 0.735915
 782,   0.8173, 0.737926
 783,   0.8173, 0.736661
 784,   0.8173, 0.737204
 785,   0.8173, 0.732557
 786,   0.8176, 0.731148
 787,   0.8176, 0.735388
 788,   0.8176, 0.736418
 789,   0.8176, 0.736572
 790,   0.8176, 0.734714
 791,   0.8176,  0.73992
 792,   0.8176, 0.736022
 793,   0.8176, 0.734803
 794,   0.8176, 0.737067
 795,   0.8176, 0.739559
 796,   0.8176, 0.734484
 797,   0.8176, 0.738956
 798,   0.8225, 0.732645
 799,   0.8225, 0.739527
 800,   0.8222, 0.744892
 801,   0.8222, 0.741601
 802,   0.8222, 0.740242
 803,   0.8222, 0.735215
