gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
 273,   0.6452, 0.599427
 274,   0.6452, 0.594914
 275,   0.6447, 0.599973
 276,   0.6447, 0.596915
 277,   0.6444, 0.593001
 278,   0.6435, 0.598213
 279,   0.6435, 0.596949
 280,   0.6429, 0.597812
 281,   0.6458, 0.598026
 282,   0.6458, 0.596007
 283,   0.6442,  0.60151
 284,   0.6442,  0.59877
 285,   0.6442, 0.598775
 286,   0.6442, 0.600047
 287,   0.6442, 0.597602
 288,   0.6442, 0.603137
 289,   0.6442,  0.59505
 290,   0.6442, 0.601765
 291,   0.6442, 0.603961
 292,   0.6442, 0.596752
 293,   0.6442,  0.60179
 294,   0.6422, 0.599128
 295,   0.6422, 0.594092
 296,    0.645, 0.598911
 297,    0.645, 0.602106
 298,    0.645, 0.602499
 299,    0.645, 0.595962
 300,   0.6436, 0.600522
 301,   0.6436, 0.602554
 302,   0.6436, 0.596028
 303,   0.6436, 0.592622
 304,   0.6436, 0.599363
 305,   0.6436, 0.604447
 306,   0.6436,   0.6008
 307,   0.6436, 0.599525
 308,   0.6436, 0.603962
 309,   0.6436, 0.601448
 310,   0.6451, 0.600273
 311,   0.6432, 0.598565
 312,   0.6432,  0.60259
 313,   0.6441, 0.604105
 314,   0.6441,  0.60253
 315,   0.6441,  0.60114
 316,   0.6441, 0.603973
 317,   0.6441, 0.600422
 318,   0.6446, 0.600357
 319,   0.6446, 0.595913
 320,   0.6446, 0.602825
 321,   0.6446, 0.600655
 322,   0.6446, 0.597611
 323,    0.643, 0.606655
 324,    0.643, 0.599007
 325,    0.645, 0.598454
 326,   0.6444, 0.601718
 327,   0.6443,  0.59838
 328,   0.6452, 0.602679
 329,   0.6447, 0.596641
 330,   0.6447, 0.603064
 331,   0.6432, 0.599509
 332,   0.6453,  0.59586
 333,   0.6453, 0.597411
 334,    0.645, 0.602018
 335,    0.645,  0.60026
 336,   0.6448, 0.603047
 337,   0.6448, 0.600278
 338,   0.6455, 0.601798
 339,   0.6455, 0.599199
 340,   0.6455, 0.596971
 341,   0.6455, 0.602587
 342,   0.6472, 0.599605
 343,   0.6472, 0.595124
 344,   0.6472, 0.603068
 345,   0.6472, 0.600441
 346,   0.6466, 0.600899
 347,   0.6466, 0.598115
 348,   0.6466, 0.595498
 349,   0.6469, 0.596462
 350,   0.6469,  0.59957
 351,   0.6469,  0.59804
 352,   0.6469, 0.595577
 353,   0.6469, 0.599848
 354,    0.647,  0.60055
 355,    0.647, 0.604648
 356,   0.6459, 0.600703
 357,   0.6454, 0.602339
 358,   0.6461, 0.598209
 359,   0.6461, 0.596658
 360,   0.6469, 0.603123
 361,    0.649, 0.597284
 362,    0.649,  0.59462
 363,    0.649, 0.601193
 364,    0.649, 0.599523
 365,    0.649, 0.607547
 366,    0.649, 0.601175
 367,    0.649, 0.604498
 368,    0.649, 0.609165
 369,   0.6489, 0.601058
 370,   0.6489, 0.599347
 371,   0.6489, 0.609124
 372,   0.6489, 0.602775
 373,   0.6492, 0.605771
 374,   0.6492, 0.603374
 375,   0.6492, 0.604413
 376,   0.6492, 0.612316
 377,   0.6492, 0.599378
 378,   0.6492, 0.606852
 379,   0.6492, 0.598959
 380,   0.6469,  0.60339
 381,   0.6476, 0.605609
 382,   0.6476, 0.605096
 383,   0.6492, 0.607619
 384,   0.6492, 0.603182
 385,   0.6492, 0.602978
 386,   0.6492, 0.600774
 387,   0.6492, 0.600477
 388,   0.6492, 0.603913
 389,   0.6492, 0.600842
 390,   0.6492, 0.606854
 391,   0.6492, 0.604613
 392,   0.6492, 0.608715
 393,   0.6492, 0.605637
 394,   0.6492, 0.602845
 395,   0.6492, 0.600153
 396,   0.6479, 0.607903
 397,   0.6479, 0.605054
 398,   0.6479, 0.601127
 399,   0.6475, 0.603831
 400,   0.6475, 0.605707
 401,   0.6497, 0.601967
 402,   0.6497, 0.604356
 403,   0.6486, 0.600934
 404,   0.6486, 0.599745
 405,   0.6483, 0.602809
 406,   0.6483, 0.604954
 407,   0.6483, 0.603538
 408,   0.6483, 0.602135
 409,   0.6483, 0.601355
 410,   0.6483, 0.596533
 411,   0.6483, 0.604337
 412,   0.6483, 0.600371
 413,   0.6483, 0.604319
 414,   0.6483, 0.602807
 415,   0.6483, 0.599337
 416,   0.6498, 0.599789
 417,   0.6489, 0.599659
 418,   0.6489, 0.597535
 419,   0.6489, 0.595759
 420,   0.6489, 0.600496
 421,    0.649, 0.604349
 422,    0.649, 0.602833
 423,   0.6492, 0.602444
 424,   0.6502, 0.600928
 425,   0.6502, 0.598801
 426,   0.6495,  0.60526
 427,   0.6495, 0.601093
 428,   0.6481, 0.608372
 429,   0.6481, 0.605605
 430,   0.6476, 0.601612
 431,   0.6476, 0.602803
 432,   0.6476, 0.604234
 433,   0.6476, 0.602612
 434,   0.6476, 0.602331
 435,   0.6476, 0.601516
 436,   0.6476, 0.602612
 437,   0.6471, 0.602609
 438,   0.6471, 0.600309
 439,   0.6471, 0.603742
 440,   0.6471, 0.597118
 441,   0.6471, 0.600597
 442,   0.6471, 0.596178
 443,   0.6471, 0.599304
 444,   0.6471, 0.602483
 445,   0.6471, 0.593272
 446,   0.6471, 0.597589
 447,   0.6471, 0.602147
 448,   0.6471, 0.598021
 449,   0.6471, 0.599217
 450,   0.6471, 0.594805
 451,   0.6471, 0.599773
 452,   0.6471, 0.600489
 453,   0.6471, 0.602099
 454,   0.6471, 0.601295
 455,   0.6471, 0.595635
 456,   0.6471, 0.592307
 457,   0.6469, 0.600064
 458,   0.6469, 0.597377
 459,   0.6448, 0.597338
 460,   0.6448, 0.597619
 461,   0.6448, 0.589758
 462,   0.6448, 0.594154
 463,   0.6448, 0.593664
 464,   0.6448,  0.59415
 465,   0.6448, 0.594686
 466,   0.6448, 0.595325
 467,   0.6441, 0.596872
 468,   0.6481, 0.601852
 469,   0.6481, 0.596825
 470,   0.6481, 0.597287
 471,   0.6481, 0.595682
 472,   0.6481, 0.602563
 473,   0.6482, 0.597989
 474,   0.6482, 0.599618
 475,     0.65,  0.59821
 476,     0.65, 0.601444
 477,     0.65, 0.597318
 478,     0.65,  0.60409
 479,     0.65, 0.600074
 480,     0.65, 0.597672
 481,     0.65, 0.597426
 482,     0.65, 0.596637
 483,     0.65, 0.599975
 484,   0.6487, 0.600252
 485,   0.6487, 0.600671
 486,   0.6504, 0.609873
 487,   0.6504, 0.606046
 488,   0.6504, 0.602198
 489,   0.6504, 0.606097
 490,    0.649, 0.606182
 491,   0.6499, 0.604814
 492,   0.6499, 0.602177
 493,   0.6494, 0.598768
 494,   0.6494, 0.602725
 495,   0.6494, 0.601039
 496,   0.6494, 0.605144
 497,   0.6494,  0.60007
 498,   0.6494, 0.602443
 499,   0.6494, 0.601007
 500,   0.6494, 0.606414
 501,   0.6494, 0.604122
 502,   0.6494, 0.601969
 503,   0.6494,  0.60341
 504,   0.6486, 0.606234
 505,   0.6486, 0.599486
 506,   0.6486, 0.599928
 507,   0.6486, 0.605078
 508,   0.6486, 0.601773
 509,   0.6493, 0.602537
 510,   0.6493, 0.605581
 511,   0.6493, 0.599665
 512,   0.6493, 0.602102
 513,   0.6493, 0.606682
 514,   0.6493, 0.603543
 515,   0.6493, 0.599755
 516,   0.6493, 0.600986
 517,   0.6487, 0.600968
 518,   0.6487, 0.600427
 519,   0.6487, 0.595118
 520,   0.6487,  0.59782
 521,   0.6487, 0.600256
 522,   0.6487, 0.597951
 523,   0.6451,  0.60263
 524,   0.6451, 0.606309
 525,   0.6451, 0.590604
 526,   0.6451,   0.5996
 527,   0.6451, 0.599069
 528,   0.6456, 0.588088
 529,   0.6475,  0.60007
 530,   0.6475,  0.59986
 531,   0.6475, 0.601128
 532,   0.6475, 0.596782
 533,   0.6475, 0.597485
 534,   0.6475, 0.598577
 535,   0.6475, 0.599763
 536,   0.6475, 0.602662
 537,   0.6475, 0.599412
 538,   0.6475, 0.593347
 539,    0.648, 0.595201
 540,    0.648, 0.592745
 541,    0.648, 0.596479
 542,   0.6478, 0.600632
 543,   0.6478,  0.60343
 544,   0.6478, 0.596655
 545,   0.6489, 0.592093
 546,   0.6489, 0.595523
 547,   0.6489,  0.59662
 548,   0.6489, 0.604059
 549,   0.6489, 0.601415
 550,   0.6489, 0.596056
 551,   0.6491, 0.599811
 552,   0.6491, 0.601017
 553,   0.6491, 0.603965
 554,   0.6491, 0.600655
 555,   0.6491, 0.601093
 556,   0.6491, 0.600369
 557,   0.6491, 0.598827
 558,   0.6539, 0.603281
 559,   0.6539, 0.599467
 560,   0.6539, 0.603866
 561,   0.6514, 0.604515
