gen, tournament_ternary_twopoint_best, tournament_ternary_twopoint_ave
 437,   0.7911, 0.709578
 438,   0.7911, 0.712663
 439,    0.793,  0.71214
 440,    0.793, 0.717276
 441,   0.7945, 0.716106
 442,   0.7945, 0.716512
 443,   0.7945, 0.719257
 444,   0.7945, 0.718669
 445,   0.7945, 0.718134
 446,   0.7957, 0.716372
 447,   0.7957, 0.720541
 448,   0.7957, 0.716875
 449,   0.7982,  0.71422
 450,   0.7982,  0.71968
 451,   0.7991,  0.72094
 452,   0.7991, 0.721693
 453,   0.7991, 0.719189
 454,   0.7991, 0.722653
 455,   0.7991, 0.724179
 456,   0.7991, 0.717479
 457,   0.7991, 0.717338
 458,   0.7991, 0.712737
 459,   0.7991, 0.716789
 460,   0.7991, 0.718491
 461,   0.7991, 0.714971
 462,   0.7991, 0.720516
 463,   0.7991, 0.717369
 464,   0.7991, 0.717644
 465,   0.7991,  0.71775
 466,   0.7991,  0.71992
 467,   0.7991, 0.720854
 468,   0.7991, 0.724063
 469,   0.7991, 0.716704
 470,   0.7991, 0.720875
 471,   0.7991, 0.723138
 472,   0.7991, 0.721274
 473,   0.7991, 0.718845
 474,   0.7991, 0.726625
 475,   0.7991, 0.720526
 476,   0.7991, 0.723585
 477,   0.7991, 0.721944
 478,   0.7996, 0.718964
 479,   0.7996, 0.719461
 480,   0.7996, 0.720045
 481,   0.7996, 0.716323
 482,   0.7996, 0.717256
 483,   0.7996, 0.718496
 484,   0.7996, 0.719364
 485,   0.8034, 0.720051
 486,   0.8034, 0.723839
 487,   0.8034, 0.718035
 488,   0.8034, 0.720609
 489,   0.8034, 0.725785
 490,   0.8034, 0.721433
 491,   0.8034, 0.722313
 492,   0.8034, 0.721532
 493,   0.8034, 0.720843
 494,   0.8034, 0.715965
 495,   0.8034, 0.725214
 496,   0.8056, 0.721193
 497,   0.8056, 0.723173
 498,   0.8056, 0.722381
 499,   0.8056, 0.720346
 500,   0.8056, 0.720789
 501,   0.8056, 0.724753
 502,   0.8056, 0.729227
 503,   0.8056, 0.726457
 504,   0.8056, 0.728896
 505,   0.8056, 0.721079
 506,   0.8056, 0.729071
 507,   0.8056, 0.728348
 508,   0.8056, 0.721471
 509,   0.8069, 0.724582
 510,   0.8069, 0.731551
 511,   0.8069, 0.725656
 512,   0.8069, 0.726456
 513,   0.8069, 0.730145
 514,   0.8069, 0.726018
 515,   0.8069, 0.729956
 516,   0.8069, 0.731756
 517,   0.8069, 0.730678
 518,   0.8069,   0.7279
 519,   0.8069, 0.732313
 520,   0.8069,  0.72591
 521,   0.8069, 0.730021
 522,   0.8069,  0.72912
 523,   0.8069, 0.730682
 524,   0.8069, 0.731724
 525,   0.8069, 0.738054
 526,    0.808, 0.730675
 527,    0.808, 0.738261
 528,    0.808, 0.730721
 529,    0.808, 0.733706
 530,    0.808, 0.727585
 531,    0.808, 0.731929
 532,    0.808, 0.737898
 533,   0.8084, 0.731011
 534,   0.8084,  0.73096
 535,   0.8084, 0.732669
 536,   0.8084, 0.735666
 537,   0.8084, 0.730805
 538,   0.8084,  0.73123
 539,   0.8084, 0.730662
 540,   0.8084, 0.737492
 541,   0.8084,  0.73554
 542,   0.8084, 0.738523
 543,   0.8084, 0.730996
 544,   0.8084, 0.729587
 545,   0.8084, 0.727183
 546,   0.8084, 0.730174
 547,   0.8084, 0.732342
 548,   0.8084, 0.733132
 549,   0.8084, 0.732201
 550,   0.8084, 0.734171
 551,   0.8084, 0.734482
 552,   0.8084, 0.734385
 553,   0.8084, 0.735039
 554,   0.8091, 0.737625
 555,   0.8092, 0.731407
 556,   0.8092, 0.731703
 557,   0.8092, 0.734697
 558,   0.8092,  0.73658
 559,   0.8092, 0.730269
 560,   0.8092, 0.729355
 561,   0.8109, 0.737665
 562,   0.8109, 0.733611
 563,   0.8121, 0.733144
 564,   0.8121, 0.736109
 565,   0.8121, 0.724687
 566,   0.8121, 0.732185
 567,   0.8121, 0.725975
 568,   0.8121, 0.727718
 569,   0.8121, 0.735762
 570,   0.8123, 0.723567
 571,   0.8123, 0.723949
 572,   0.8143, 0.728042
 573,   0.8143, 0.725981
 574,   0.8143, 0.726692
 575,   0.8143, 0.730204
 576,   0.8143,  0.72484
 577,   0.8143, 0.723306
 578,   0.8143, 0.734712
 579,   0.8143, 0.726724
 580,   0.8143, 0.729347
 581,   0.8143, 0.729686
 582,   0.8143,   0.7259
 583,   0.8143, 0.729428
 584,   0.8143, 0.725272
 585,   0.8143, 0.730295
 586,   0.8143, 0.727178
 587,   0.8143, 0.730064
 588,   0.8143, 0.729413
 589,   0.8143, 0.732616
 590,   0.8143,   0.7208
 591,   0.8143, 0.728662
 592,   0.8143, 0.730934
 593,   0.8143, 0.721419
 594,   0.8143, 0.717597
 595,   0.8143, 0.717884
 596,   0.8143, 0.721105
 597,   0.8143, 0.722408
 598,   0.8143, 0.727697
 599,   0.8143, 0.730646
 600,   0.8143, 0.732339
 601,   0.8143, 0.728234
 602,   0.8143, 0.724891
 603,   0.8143, 0.730649
 604,   0.8143, 0.730349
 605,   0.8143, 0.726872
 606,   0.8143, 0.730731
 607,   0.8143, 0.731043
 608,   0.8143, 0.732697
 609,   0.8143, 0.728648
 610,   0.8143, 0.725007
 611,   0.8143, 0.730878
 612,   0.8143, 0.728536
 613,   0.8143, 0.726873
 614,   0.8143, 0.720232
 615,   0.8158, 0.730003
 616,   0.8158, 0.733047
 617,   0.8158, 0.734441
 618,   0.8158, 0.728052
 619,   0.8158,  0.72239
 620,   0.8158, 0.729662
 621,   0.8158, 0.726365
 622,   0.8162, 0.722505
 623,   0.8162, 0.724274
 624,    0.817, 0.720851
 625,    0.817, 0.731548
 626,    0.817, 0.728647
 627,   0.8173, 0.724662
 628,   0.8173, 0.734378
 629,   0.8173, 0.729071
 630,   0.8173, 0.726757
 631,   0.8173, 0.730154
 632,   0.8173,  0.72158
 633,   0.8173, 0.725962
 634,   0.8173, 0.727808
 635,   0.8183, 0.733896
 636,   0.8183, 0.729679
 637,   0.8183, 0.733169
 638,   0.8183, 0.730947
 639,   0.8183, 0.719604
 640,   0.8183, 0.730961
 641,   0.8183,  0.73337
 642,   0.8183, 0.740052
 643,   0.8183, 0.729954
 644,   0.8183, 0.733263
 645,   0.8183, 0.728608
 646,   0.8183, 0.729083
 647,   0.8183, 0.731692
 648,   0.8183, 0.732803
 649,   0.8208, 0.735562
 650,   0.8208, 0.732054
 651,   0.8208, 0.729638
 652,   0.8208, 0.738805
 653,   0.8208, 0.729008
 654,   0.8208, 0.735172
 655,   0.8208, 0.733127
 656,   0.8208,  0.73747
 657,   0.8208, 0.737988
 658,   0.8208, 0.734553
 659,   0.8208, 0.730391
 660,   0.8214, 0.734886
 661,   0.8214, 0.739081
 662,   0.8214, 0.728746
 663,   0.8214, 0.724797
 664,   0.8214, 0.731781
 665,   0.8214, 0.727019
 666,   0.8214, 0.732769
 667,   0.8214, 0.731243
 668,   0.8214, 0.729914
 669,   0.8214,  0.73336
 670,   0.8214, 0.736096
 671,   0.8214, 0.729159
 672,   0.8214, 0.730027
 673,   0.8214, 0.736696
 674,   0.8214, 0.732375
 675,   0.8214, 0.730957
 676,   0.8214, 0.735833
 677,   0.8214, 0.725721
 678,   0.8214, 0.734273
 679,   0.8214, 0.727778
 680,   0.8214, 0.727563
 681,   0.8214, 0.729584
 682,   0.8214, 0.736404
 683,   0.8214, 0.733449
 684,   0.8214,  0.72686
 685,   0.8214, 0.732087
 686,   0.8215,  0.73662
 687,   0.8215, 0.737043
 688,   0.8215, 0.732171
 689,   0.8215, 0.724679
 690,   0.8239, 0.732842
 691,   0.8239, 0.731925
 692,   0.8239, 0.736499
 693,   0.8239,  0.74009
 694,   0.8239, 0.741118
 695,   0.8239, 0.735152
 696,   0.8239, 0.734079
 697,   0.8239, 0.739968
 698,   0.8239, 0.731678
 699,   0.8245,  0.74193
 700,   0.8249, 0.741008
 701,   0.8249, 0.729948
 702,   0.8249, 0.732459
 703,   0.8249, 0.734324
 704,   0.8249,  0.74336
 705,   0.8249,  0.73884
 706,   0.8249, 0.731941
 707,   0.8249, 0.734499
 708,   0.8249,  0.73512
 709,   0.8249, 0.731005
 710,   0.8249, 0.737662
 711,   0.8249, 0.741028
 712,   0.8249, 0.735382
 713,   0.8249, 0.734537
 714,   0.8249, 0.739506
 715,   0.8249, 0.739389
 716,   0.8249, 0.735009
 717,   0.8249, 0.739947
 718,   0.8249, 0.735547
 719,   0.8249, 0.731784
 720,   0.8249, 0.729196
 721,   0.8249, 0.733626
 722,   0.8249, 0.736929
 723,   0.8249, 0.744824
 724,   0.8249,  0.73438
 725,   0.8249,  0.73011
 726,   0.8251, 0.731297
 727,   0.8251, 0.736486
 728,   0.8251, 0.738735
 729,   0.8251, 0.733816
 730,   0.8251, 0.731822
 731,   0.8251, 0.737032
 732,   0.8251, 0.735919
 733,   0.8251, 0.737681
 734,   0.8251, 0.737135
 735,   0.8251, 0.734606
 736,   0.8251, 0.731866
 737,   0.8251, 0.734045
 738,   0.8251, 0.735007
 739,   0.8251, 0.737284
 740,   0.8251, 0.738642
 741,   0.8251, 0.737623
