gen, tournament_binary_uniform_best, tournament_binary_uniform_ave
 404,   0.7681, 0.716416
 405,   0.7684, 0.716701
 406,   0.7684,  0.71861
 407,   0.7684, 0.716409
 408,   0.7684, 0.718096
 409,   0.7684, 0.719585
 410,   0.7684, 0.718991
 411,   0.7684, 0.716757
 412,   0.7684, 0.716008
 413,   0.7687, 0.720937
 414,   0.7687, 0.717492
 415,   0.7687, 0.719109
 416,   0.7687, 0.718024
 417,   0.7687, 0.715503
 418,   0.7687,  0.71913
 419,   0.7687, 0.716873
 420,   0.7691, 0.715256
 421,   0.7691, 0.719117
 422,   0.7691, 0.721925
 423,   0.7691, 0.718964
 424,   0.7692, 0.716322
 425,   0.7701, 0.719525
 426,   0.7701, 0.719949
 427,   0.7701, 0.717853
 428,   0.7701, 0.722877
 429,   0.7701, 0.717239
 430,   0.7701, 0.716693
 431,   0.7701, 0.717279
 432,   0.7701, 0.720222
 433,   0.7701, 0.720226
 434,   0.7701, 0.718674
 435,   0.7701, 0.720785
 436,   0.7701, 0.713603
 437,   0.7701, 0.715925
 438,   0.7702, 0.718756
 439,   0.7702, 0.720583
 440,   0.7702, 0.717862
 441,   0.7702, 0.718932
 442,   0.7702,  0.71872
 443,   0.7702, 0.718897
 444,   0.7702, 0.720304
 445,   0.7704,  0.72274
 446,   0.7704, 0.719986
 447,   0.7704, 0.717977
 448,   0.7704, 0.719675
 449,   0.7704, 0.717937
 450,   0.7704, 0.719079
 451,   0.7704, 0.721937
 452,   0.7704, 0.719365
 453,   0.7704, 0.720143
 454,   0.7704, 0.718125
 455,   0.7704, 0.717758
 456,   0.7704, 0.716756
 457,   0.7704, 0.720123
 458,   0.7704, 0.720622
 459,   0.7704, 0.719666
 460,   0.7704,  0.72022
 461,   0.7707, 0.720304
 462,   0.7707, 0.718794
 463,   0.7707, 0.721398
 464,   0.7707,  0.71985
 465,   0.7707, 0.721314
 466,   0.7707, 0.720024
 467,   0.7707, 0.719914
 468,   0.7707, 0.724379
 469,   0.7707, 0.718876
 470,   0.7707, 0.723559
 471,   0.7707, 0.715178
 472,   0.7707, 0.719885
 473,   0.7707, 0.720301
 474,   0.7707, 0.720389
 475,   0.7707, 0.720533
 476,   0.7707, 0.720142
 477,   0.7707, 0.721142
 478,   0.7707, 0.719108
 479,   0.7707,  0.71861
 480,   0.7708, 0.721506
 481,   0.7708, 0.719346
 482,   0.7708, 0.724255
 483,   0.7708, 0.718159
 484,   0.7708, 0.717301
 485,   0.7708, 0.721592
 486,   0.7708, 0.722787
 487,   0.7708, 0.719583
 488,   0.7708, 0.720119
 489,   0.7708, 0.719251
 490,   0.7708, 0.719963
 491,   0.7708, 0.719051
 492,   0.7708,  0.72072
 493,   0.7708, 0.723257
 494,   0.7708, 0.723506
 495,   0.7708, 0.720612
 496,   0.7708, 0.720114
 497,   0.7708, 0.719105
 498,   0.7709,  0.72189
 499,   0.7709, 0.719709
 500,   0.7709, 0.721246
 501,   0.7709, 0.723176
 502,   0.7709, 0.722833
 503,    0.771, 0.718641
 504,    0.771,  0.72015
 505,    0.771, 0.722881
 506,    0.771, 0.723682
 507,   0.7711, 0.720995
 508,   0.7711,   0.7213
 509,   0.7711,  0.72147
 510,   0.7711, 0.721675
 511,   0.7711, 0.719463
 512,   0.7711,  0.72211
 513,   0.7713, 0.720888
 514,   0.7713, 0.721698
 515,   0.7713, 0.722581
 516,   0.7713, 0.719048
 517,   0.7713, 0.720599
 518,   0.7713, 0.721866
 519,   0.7718, 0.721826
 520,   0.7718, 0.721537
 521,   0.7718, 0.720752
 522,   0.7718, 0.719125
 523,   0.7718, 0.719879
 524,   0.7726, 0.720148
 525,   0.7726, 0.722831
 526,   0.7726, 0.722122
 527,   0.7726, 0.723273
 528,   0.7726, 0.720631
 529,   0.7726, 0.721437
 530,   0.7726,   0.7216
 531,   0.7726, 0.721132
 532,   0.7726, 0.722597
 533,   0.7726, 0.721082
 534,   0.7726, 0.722534
 535,   0.7726,  0.72511
 536,   0.7726, 0.721691
 537,   0.7726, 0.722186
 538,   0.7726, 0.721349
 539,   0.7726, 0.723631
 540,   0.7726, 0.722946
 541,   0.7726,  0.72517
 542,   0.7726, 0.721847
 543,   0.7726, 0.725985
 544,   0.7726, 0.722895
 545,   0.7726, 0.723452
 546,   0.7726, 0.723918
 547,   0.7726, 0.723653
 548,   0.7726, 0.724008
 549,   0.7726, 0.725039
 550,   0.7726,  0.72414
 551,   0.7726, 0.719226
 552,   0.7726, 0.723162
 553,   0.7726, 0.722385
 554,   0.7726, 0.720845
 555,   0.7726, 0.722564
 556,   0.7726, 0.725692
 557,   0.7726, 0.721034
 558,   0.7726, 0.721815
 559,   0.7726, 0.723652
 560,   0.7726, 0.722614
 561,   0.7726, 0.719791
 562,   0.7726, 0.722542
 563,   0.7726, 0.722712
 564,   0.7726, 0.721314
 565,   0.7726,  0.72314
 566,   0.7726,  0.71885
 567,   0.7726, 0.720695
 568,   0.7726, 0.718822
 569,   0.7726, 0.721376
 570,   0.7726, 0.727025
 571,   0.7726, 0.724855
 572,   0.7726, 0.723896
 573,   0.7726,  0.72288
 574,   0.7726, 0.721029
 575,   0.7726,  0.72304
 576,   0.7726, 0.724548
 577,   0.7726, 0.721806
 578,   0.7728, 0.721618
 579,   0.7728,    0.724
 580,   0.7728, 0.725061
 581,   0.7728, 0.723445
 582,   0.7733, 0.725284
 583,   0.7733, 0.720309
 584,   0.7733, 0.723606
 585,   0.7733,  0.72066
 586,   0.7733, 0.723297
 587,   0.7733, 0.718834
 588,   0.7733,  0.72213
 589,   0.7733, 0.720837
 590,   0.7733, 0.724631
 591,   0.7733, 0.723239
 592,   0.7733, 0.721611
 593,   0.7733, 0.723301
 594,   0.7733, 0.721965
 595,   0.7735, 0.724396
 596,   0.7735, 0.727089
 597,   0.7735,  0.72318
 598,   0.7735, 0.723961
 599,   0.7735, 0.721361
 600,   0.7735, 0.725586
 601,   0.7735, 0.725106
 602,   0.7735, 0.721843
 603,   0.7735, 0.724639
 604,   0.7735, 0.723958
 605,   0.7735, 0.724756
 606,   0.7735, 0.722844
 607,   0.7735, 0.724962
 608,   0.7735, 0.723665
 609,   0.7735, 0.724272
 610,   0.7735, 0.724236
 611,   0.7735, 0.725986
 612,   0.7735,  0.71869
 613,   0.7735, 0.722214
 614,   0.7735, 0.719057
 615,   0.7735, 0.725236
 616,   0.7735, 0.723641
 617,   0.7737, 0.724011
 618,   0.7737, 0.722327
 619,   0.7737, 0.723713
 620,   0.7737, 0.722291
 621,   0.7739, 0.722362
 622,   0.7739, 0.724082
 623,   0.7739, 0.724069
 624,   0.7739, 0.721618
 625,   0.7739, 0.723594
 626,   0.7739, 0.722727
 627,   0.7739, 0.720232
 628,   0.7739, 0.722034
 629,    0.774, 0.726822
 630,    0.774, 0.723615
