gen, tournament_ternary_uniform_best, tournament_ternary_uniform_ave
 280,    0.783, 0.730587
 281,   0.7831,  0.72985
 282,   0.7831,  0.73092
 283,   0.7832, 0.731321
 284,   0.7832, 0.732202
 285,   0.7832, 0.729397
 286,   0.7832, 0.728182
 287,   0.7842, 0.734505
 288,   0.7842, 0.728455
 289,   0.7842, 0.729356
 290,   0.7842, 0.729425
 291,   0.7853,  0.73219
 292,    0.786, 0.732722
 293,    0.786, 0.732359
 294,    0.786, 0.732416
 295,    0.786, 0.731547
 296,    0.786, 0.731261
 297,    0.786, 0.732941
 298,    0.786, 0.729976
 299,    0.786, 0.727853
 300,    0.786,  0.73442
 301,    0.786, 0.729691
 302,    0.786, 0.733742
 303,    0.786, 0.732359
 304,    0.786, 0.731198
 305,   0.7865, 0.731364
 306,   0.7865, 0.730884
 307,   0.7865, 0.729759
 308,   0.7865, 0.729913
 309,   0.7865, 0.731616
 310,   0.7865, 0.731525
 311,   0.7874, 0.729717
 312,   0.7874, 0.730589
 313,   0.7874, 0.730868
 314,   0.7874,  0.73274
 315,   0.7874,  0.72977
 316,   0.7874, 0.730315
 317,   0.7874, 0.729381
 318,   0.7874, 0.730309
 319,   0.7874, 0.731016
 320,   0.7874, 0.730797
 321,   0.7874, 0.729782
 322,   0.7874, 0.730497
 323,   0.7874, 0.733835
 324,   0.7874, 0.732806
 325,   0.7874, 0.734586
 326,   0.7874,  0.73195
 327,   0.7874, 0.733228
 328,   0.7874, 0.729799
 329,   0.7874, 0.729675
 330,   0.7874, 0.731822
 331,    0.788, 0.732964
 332,    0.788, 0.733707
 333,    0.788, 0.731889
 334,    0.788, 0.730474
 335,    0.788, 0.731089
 336,    0.788, 0.732629
 337,    0.788, 0.732382
 338,    0.789, 0.732968
 339,    0.789, 0.731908
 340,    0.789, 0.732354
 341,   0.7892,   0.7314
 342,   0.7892, 0.733283
 343,   0.7892, 0.727387
 344,   0.7892, 0.728899
 345,   0.7896, 0.728338
 346,   0.7896, 0.730513
 347,   0.7896, 0.727732
 348,   0.7896, 0.731958
 349,   0.7896, 0.730807
 350,   0.7896, 0.733647
 351,   0.7896, 0.733031
 352,   0.7901,  0.73084
 353,   0.7901, 0.730151
 354,   0.7901,  0.72413
 355,   0.7901, 0.728183
 356,   0.7901, 0.728225
 357,   0.7901, 0.728737
 358,   0.7901, 0.728917
 359,   0.7925,  0.72652
 360,   0.7925, 0.728608
 361,   0.7935, 0.731044
 362,   0.7935, 0.734234
 363,   0.7936, 0.730312
 364,   0.7936, 0.735084
 365,   0.7936,  0.73361
 366,   0.7936, 0.730443
 367,   0.7936, 0.732579
 368,   0.7936, 0.731752
 369,   0.7936,  0.72747
 370,   0.7956, 0.731414
 371,   0.7956, 0.732384
 372,   0.7956,  0.73518
 373,   0.7956,  0.73463
 374,   0.7956, 0.736485
 375,   0.7956, 0.733486
 376,   0.7956, 0.733693
 377,   0.7956, 0.734757
 378,   0.7956, 0.733927
 379,   0.7956, 0.734197
 380,   0.7956, 0.733499
 381,   0.7956, 0.736277
 382,   0.7966, 0.735553
 383,   0.7966, 0.737425
 384,   0.7973, 0.737478
 385,   0.7973, 0.735466
 386,   0.7973, 0.735553
 387,   0.7973, 0.739681
 388,   0.7973, 0.735736
 389,   0.7997,   0.7389
 390,   0.7997, 0.740052
 391,   0.8002,  0.73925
 392,   0.8002, 0.738633
 393,   0.8005, 0.738346
 394,   0.8005, 0.742212
 395,   0.8005, 0.741427
 396,   0.8005, 0.739016
 397,   0.8005, 0.737046
 398,   0.8005, 0.739907
 399,   0.8005, 0.737345
 400,   0.8005, 0.734905
 401,   0.8005, 0.739192
 402,   0.8005, 0.738742
 403,   0.8005, 0.737683
 404,   0.8005, 0.736904
 405,   0.8005, 0.738085
 406,   0.8005, 0.740924
 407,   0.8005, 0.741379
 408,   0.8005, 0.742773
 409,   0.8005, 0.738714
 410,   0.8005,  0.73787
 411,   0.8008, 0.739519
 412,   0.8008, 0.737901
 413,   0.8008, 0.738009
 414,   0.8008, 0.738123
 415,   0.8008, 0.737288
 416,   0.8008,  0.73924
 417,   0.8008, 0.739793
 418,   0.8008, 0.744219
 419,    0.801, 0.741621
 420,    0.801,  0.73977
 421,    0.801, 0.741117
 422,    0.801, 0.740139
 423,    0.801, 0.737827
 424,    0.801, 0.738259
 425,    0.801, 0.739558
 426,    0.801, 0.739363
 427,    0.801, 0.742447
 428,    0.801,  0.74276
 429,    0.801,  0.74074
 430,    0.801, 0.737949
 431,    0.801, 0.745174
 432,    0.801, 0.741095
 433,    0.801, 0.737374
 434,    0.801, 0.742811
 435,    0.801, 0.745784
 436,    0.801, 0.737181
 437,    0.801, 0.737936
 438,    0.801, 0.742662
 439,    0.801, 0.742191
 440,    0.801, 0.740059
 441,    0.801, 0.742369
 442,    0.801, 0.743472
 443,    0.801, 0.740451
 444,    0.801, 0.741174
 445,    0.801,  0.74213
 446,    0.801, 0.741349
 447,    0.801, 0.740466
 448,    0.801, 0.740908
 449,    0.801, 0.742631
 450,    0.801, 0.740942
 451,   0.8013, 0.736939
 452,   0.8015, 0.739209
 453,   0.8015, 0.741913
 454,   0.8015, 0.740833
 455,   0.8015, 0.737688
 456,   0.8015, 0.738707
 457,   0.8015, 0.739084
 458,   0.8015, 0.739573
 459,   0.8015, 0.738345
 460,   0.8015, 0.735633
 461,   0.8015, 0.740936
 462,   0.8015, 0.744425
 463,   0.8015, 0.743329
 464,   0.8015, 0.741154
 465,   0.8015,  0.73907
 466,   0.8015, 0.739026
 467,   0.8015, 0.735565
 468,   0.8015, 0.740821
 469,   0.8015, 0.739213
 470,   0.8015, 0.737711
 471,   0.8015,  0.73581
 472,   0.8015, 0.742781
 473,   0.8015, 0.738199
 474,   0.8015, 0.738899
 475,   0.8015, 0.739506
 476,   0.8015, 0.737663
 477,   0.8015, 0.740086
 478,   0.8015, 0.740947
 479,   0.8015, 0.739636
 480,   0.8015, 0.739771
 481,   0.8015, 0.741601
 482,   0.8015, 0.743306
 483,   0.8015, 0.738594
 484,   0.8015, 0.733949
 485,   0.8015, 0.738683
 486,   0.8015, 0.739069
 487,   0.8015, 0.740264
 488,   0.8015, 0.741126
 489,   0.8016, 0.737548
 490,   0.8016, 0.738526
 491,   0.8016, 0.740052
 492,   0.8016, 0.739085
 493,   0.8016, 0.736606
 494,   0.8016, 0.739428
 495,   0.8016, 0.737872
 496,   0.8016, 0.738033
 497,   0.8016, 0.736147
 498,   0.8016, 0.735711
 499,   0.8016, 0.736374
 500,   0.8016, 0.738597
 501,   0.8016, 0.738692
 502,   0.8016,  0.74003
 503,   0.8016, 0.740653
 504,   0.8016, 0.741175
 505,   0.8016, 0.739309
 506,   0.8016, 0.737096
 507,   0.8016, 0.737311
 508,   0.8016, 0.736771
 509,   0.8016, 0.739776
 510,   0.8016, 0.741723
 511,   0.8016, 0.738092
 512,   0.8016,  0.73653
 513,   0.8016, 0.740859
 514,   0.8016, 0.740318
 515,   0.8016, 0.737964
 516,   0.8016, 0.738413
 517,   0.8016, 0.738186
 518,   0.8016, 0.736811
 519,   0.8016,  0.73908
 520,   0.8016,  0.73741
 521,   0.8016, 0.738612
 522,   0.8016, 0.735421
 523,   0.8016, 0.738157
 524,   0.8016, 0.737051
 525,   0.8016, 0.741953
 526,   0.8016, 0.738267
 527,   0.8016, 0.738228
 528,   0.8016, 0.737518
 529,   0.8016,   0.7384
 530,   0.8016, 0.738468
 531,   0.8016,  0.73998
 532,   0.8016, 0.740999
 533,   0.8016, 0.736533
 534,   0.8016, 0.738852
 535,   0.8024, 0.738191
 536,   0.8024, 0.736363
 537,   0.8024,  0.74087
 538,   0.8024, 0.739984
 539,   0.8024, 0.744941
 540,    0.803, 0.740281
 541,    0.803, 0.743168
 542,   0.8033, 0.740431
